,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2011-07-01T00:47:00L026C090,B2.8,-90.0,90.0,-90.0,90.0,2011-07-01T00:47:00,2011-07-01T01:17:00,GOES
1,SOL2011-07-01T03:31:00L024C090,B3.3,-90.0,90.0,-90.0,90.0,2011-07-01T03:31:00,2011-07-01T03:41:00,GOES
2,SOL2011-07-01T03:33:23L351C072,,-537.6,-460.8,153.6,307.2,2011-07-01T03:33:23,2011-07-01T03:41:11,SDO
3,SOL2011-07-01T04:29:59L352C076,,-537.6,-460.8,153.6,230.4,2011-07-01T04:29:59,2011-07-01T04:33:35,SDO
4,SOL2011-07-01T04:49:47L352C076,,-537.6,-460.8,153.6,230.4,2011-07-01T04:49:47,2011-07-01T04:56:47,SDO
5,SOL2011-07-01T05:17:47L351C076,,-537.6,-460.8,153.6,230.4,2011-07-01T05:17:47,2011-07-01T05:21:35,SDO
6,SOL2011-07-01T05:17:49L351C076,,-537.6,-460.8,153.6,230.4,2011-07-01T05:17:49,2011-07-01T05:20:25,SDO
7,SOL2011-07-01T05:17:50L351C076,,-537.6,-460.8,153.6,230.4,2011-07-01T05:17:50,2011-07-01T05:20:26,SDO
8,SOL2011-07-01T05:31:47L350C072,,-537.6,-460.8,230.4,307.2,2011-07-01T05:31:47,2011-07-01T05:37:11,SDO
9,SOL2011-07-01T06:12:00L023C090,B2.2,-90.0,90.0,-90.0,90.0,2011-07-01T06:12:00,2011-07-01T06:17:00,GOES
10,SOL2011-07-01T06:12:00L351C076,B2.2,-34.0,-32.0,13.0,15.0,2011-07-01T06:12:00,2011-07-01T06:17:00,SDO
11,SOL2011-07-01T06:13:23L351C076,,-537.6,-460.8,153.6,230.4,2011-07-01T06:13:23,2011-07-01T06:16:59,SDO
12,SOL2011-07-01T07:01:59L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T07:01:59,2011-07-01T07:05:59,SDO
13,SOL2011-07-01T07:14:00L351C075,B5.3,-33.0,-31.0,14.0,16.0,2011-07-01T07:14:00,2011-07-01T07:21:00,SDO
14,SOL2011-07-01T07:14:00L022C090,B5.3,-90.0,90.0,-90.0,90.0,2011-07-01T07:14:00,2011-07-01T07:26:00,GOES
15,SOL2011-07-01T07:14:59L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T07:14:59,2011-07-01T07:29:35,SDO
16,SOL2011-07-01T07:15:37L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T07:15:37,2011-07-01T07:28:01,SDO
17,SOL2011-07-01T07:17:02L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T07:17:02,2011-07-01T07:20:14,SDO
18,SOL2011-07-01T07:17:08L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T07:17:08,2011-07-01T07:43:20,SDO
19,SOL2011-07-01T08:28:00L351C074,B3.7,-31.5,-30.5,15.5,16.5,2011-07-01T08:28:00,2011-07-01T08:36:00,GOES
20,SOL2011-07-01T08:28:00L351C076,B3.7,-32.0,-30.0,13.0,15.0,2011-07-01T08:28:00,2011-07-01T08:36:00,SDO
21,SOL2011-07-01T08:28:47L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T08:28:47,2011-07-01T08:36:35,SDO
22,SOL2011-07-01T08:28:49L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T08:28:49,2011-07-01T09:13:49,SDO
23,SOL2011-07-01T08:28:50L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T08:28:50,2011-07-01T08:51:38,SDO
24,SOL2011-07-01T08:28:56L350C076,,-537.6,-460.8,153.6,230.4,2011-07-01T08:28:56,2011-07-01T08:55:44,SDO
25,SOL2011-07-01T09:53:35L059C077,,537.6,614.4,153.6,230.4,2011-07-01T09:53:35,2011-07-01T09:58:23,SDO
26,SOL2011-07-01T11:01:59L348C076,,-537.6,-384.0,153.6,230.4,2011-07-01T11:01:59,2011-07-01T11:10:23,SDO
27,SOL2011-07-01T11:02:01L354C076,,-460.8,-384.0,153.6,230.4,2011-07-01T11:02:01,2011-07-01T11:11:25,SDO
28,SOL2011-07-01T12:32:59L026C076,,76.8,153.6,153.6,230.4,2011-07-01T12:32:59,2011-07-01T13:15:23,SDO
29,SOL2011-07-01T12:34:00L025C076,B4.1,5.0,7.0,13.0,15.0,2011-07-01T12:34:00,2011-07-01T12:40:00,SDO
30,SOL2011-07-01T12:34:00L025C076,B4.1,5.5,6.5,13.5,14.5,2011-07-01T12:34:00,2011-07-01T12:58:00,GOES
31,SOL2011-07-01T12:36:14L026C076,,0.0,153.6,153.6,307.2,2011-07-01T12:36:14,2011-07-01T14:42:14,SDO
32,SOL2011-07-01T13:47:23L021C071,,0.0,76.8,230.4,307.2,2011-07-01T13:47:23,2011-07-01T13:52:35,SDO
33,SOL2011-07-01T21:05:00L351C076,B2.4,-25.0,-23.0,13.0,15.0,2011-07-01T21:05:00,2011-07-01T21:17:00,SDO
34,SOL2011-07-01T21:05:00L014C090,B2.4,-90.0,90.0,-90.0,90.0,2011-07-01T21:05:00,2011-07-01T21:17:00,GOES
35,SOL2011-07-02T06:16:47L056C072,,614.4,691.2,230.4,307.2,2011-07-02T06:16:47,2011-07-02T06:19:23,SDO
36,SOL2011-07-02T11:17:00L055C073,B1.7,47.0,49.0,16.0,18.0,2011-07-02T11:17:00,2011-07-02T11:25:00,SDO
37,SOL2011-07-02T11:17:00L007C090,B1.7,-90.0,90.0,-90.0,90.0,2011-07-02T11:17:00,2011-07-02T11:25:00,GOES
38,SOL2011-07-02T17:04:47L352C076,,-230.4,-153.6,153.6,230.4,2011-07-02T17:04:47,2011-07-02T17:08:59,SDO
39,SOL2011-07-02T17:40:23L025C076,,307.2,384.0,153.6,230.4,2011-07-02T17:40:23,2011-07-02T17:43:47,SDO
40,SOL2011-07-02T21:49:23L023C076,,307.2,384.0,153.6,230.4,2011-07-02T21:49:23,2011-07-02T21:54:35,SDO
41,SOL2011-07-02T23:06:00L023C074,B3.7,22.5,23.5,15.5,16.5,2011-07-02T23:06:00,2011-07-02T23:13:00,GOES
42,SOL2011-07-02T23:06:00L023C074,B3.7,22.0,24.0,15.0,17.0,2011-07-02T23:06:00,2011-07-02T23:13:00,SDO
43,SOL2011-07-02T23:06:35L022C076,,307.2,384.0,153.6,307.2,2011-07-02T23:06:35,2011-07-02T23:16:11,SDO
44,SOL2011-07-02T23:07:37L022C076,,307.2,384.0,153.6,230.4,2011-07-02T23:07:37,2011-07-02T23:10:49,SDO
45,SOL2011-07-02T23:07:38L022C076,,307.2,384.0,153.6,230.4,2011-07-02T23:07:38,2011-07-02T23:10:50,SDO
46,SOL2011-07-02T23:07:44L022C076,,307.2,384.0,153.6,230.4,2011-07-02T23:07:44,2011-07-02T23:11:08,SDO
47,SOL2011-07-02T23:08:21L022C076,,307.2,384.0,153.6,230.4,2011-07-02T23:08:21,2011-07-02T23:10:45,SDO
48,SOL2011-07-03T00:01:00L026C077,B9.5,25.0,27.0,12.0,14.0,2011-07-03T00:01:00,2011-07-03T00:24:00,SDO
49,SOL2011-07-03T00:01:00L024C076,B9.5,23.5,24.5,13.5,14.5,2011-07-03T00:01:00,2011-07-03T00:33:00,GOES
50,SOL2011-07-03T00:02:23L027C076,,384.0,460.8,153.6,230.4,2011-07-03T00:02:23,2011-07-03T00:37:59,SDO
51,SOL2011-07-03T00:02:25L027C076,,384.0,460.8,153.6,230.4,2011-07-03T00:02:25,2011-07-03T00:08:49,SDO
52,SOL2011-07-03T00:02:32L027C076,,384.0,460.8,153.6,230.4,2011-07-03T00:02:32,2011-07-03T01:10:44,SDO
53,SOL2011-07-03T00:05:26L027C076,,384.0,460.8,153.6,230.4,2011-07-03T00:05:26,2011-07-03T01:17:26,SDO
54,SOL2011-07-03T00:06:05L027C076,,384.0,460.8,153.6,230.4,2011-07-03T00:06:05,2011-07-03T00:48:17,SDO
55,SOL2011-07-03T00:20:23L054C072,,691.2,844.8,230.4,307.2,2011-07-03T00:20:23,2011-07-03T00:30:11,SDO
56,SOL2011-07-03T00:53:59L021C076,,307.2,384.0,153.6,230.4,2011-07-03T00:53:59,2011-07-03T01:24:59,SDO
57,SOL2011-07-03T01:58:35L021C076,,307.2,460.8,153.6,230.4,2011-07-03T01:58:35,2011-07-03T02:03:11,SDO
58,SOL2011-07-03T02:50:11L021C071,,307.2,384.0,230.4,307.2,2011-07-03T02:50:11,2011-07-03T02:52:23,SDO
59,SOL2011-07-03T05:52:00L023C073,B2.6,26.0,28.0,16.0,18.0,2011-07-03T05:52:00,2011-07-03T06:42:00,SDO
