,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2013-07-01T04:13:10L125C067,,384.0,460.8,307.2,384.0,2013-07-01T04:13:10,2013-07-01T04:15:46,SDO
1,SOL2013-07-01T06:57:00L094C090,B6.9,-90.0,90.0,-90.0,90.0,2013-07-01T06:57:00,2013-07-01T07:03:00,GOES
2,SOL2013-07-01T06:59:22L005C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T06:59:22,2013-07-01T07:03:10,SDO
3,SOL2013-07-01T07:08:10L129C067,,460.8,537.6,307.2,384.0,2013-07-01T07:08:10,2013-07-01T07:10:58,SDO
4,SOL2013-07-01T10:03:00L092C090,B5.5,-90.0,90.0,-90.0,90.0,2013-07-01T10:03:00,2013-07-01T10:10:00,GOES
5,SOL2013-07-01T10:04:34L003C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T10:04:34,2013-07-01T10:10:34,SDO
6,SOL2013-07-01T12:33:00L091C090,C1.2,-90.0,90.0,-90.0,90.0,2013-07-01T12:33:00,2013-07-01T12:43:00,GOES
7,SOL2013-07-01T12:35:10L002C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T12:35:10,2013-07-01T12:43:22,SDO
8,SOL2013-07-01T14:46:00L090C090,C1.1,-90.0,90.0,-90.0,90.0,2013-07-01T14:46:00,2013-07-01T15:02:00,GOES
9,SOL2013-07-01T14:49:10L000C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T14:49:10,2013-07-01T15:19:34,SDO
10,SOL2013-07-01T15:10:00L089C090,C1.8,-90.0,90.0,-90.0,90.0,2013-07-01T15:10:00,2013-07-01T15:19:00,GOES
11,SOL2013-07-01T16:00:00L089C090,B9.7,-90.0,90.0,-90.0,90.0,2013-07-01T16:00:00,2013-07-01T16:09:00,GOES
12,SOL2013-07-01T16:03:34L000C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T16:03:34,2013-07-01T16:09:10,SDO
13,SOL2013-07-01T16:10:58L000C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T16:10:58,2013-07-01T16:13:34,SDO
14,SOL2013-07-01T20:06:00L087C090,B7.1,-90.0,90.0,-90.0,90.0,2013-07-01T20:06:00,2013-07-01T20:29:00,GOES
15,SOL2013-07-01T20:09:22L359C101,,-998.4,-921.6,-230.4,-153.6,2013-07-01T20:09:22,2013-07-01T20:20:22,SDO
16,SOL2013-07-01T21:01:00L086C090,B7.6,-90.0,90.0,-90.0,90.0,2013-07-01T21:01:00,2013-07-01T22:59:00,GOES
17,SOL2013-07-01T23:43:58L125C072,,537.6,691.2,230.4,384.0,2013-07-01T23:43:58,2013-07-01T23:46:10,SDO
18,SOL2013-07-02T00:17:00L084C090,B7.6,-90.0,90.0,-90.0,90.0,2013-07-02T00:17:00,2013-07-02T00:33:00,GOES
19,SOL2013-07-02T00:21:46L356C101,,-998.4,-921.6,-230.4,-153.6,2013-07-02T00:21:46,2013-07-02T00:29:10,SDO
20,SOL2013-07-02T00:46:00L084C090,B6.6,-90.0,90.0,-90.0,90.0,2013-07-02T00:46:00,2013-07-02T01:08:00,GOES
21,SOL2013-07-02T04:01:22L010C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T04:01:22,2013-07-02T04:03:22,SDO
22,SOL2013-07-02T04:08:34L131C067,,614.4,691.2,307.2,384.0,2013-07-02T04:08:34,2013-07-02T04:10:46,SDO
23,SOL2013-07-02T04:41:10L354C101,,-998.4,-921.6,-230.4,-153.6,2013-07-02T04:41:10,2013-07-02T04:50:46,SDO
24,SOL2013-07-02T07:01:22L153C100,,844.8,921.6,-230.4,-153.6,2013-07-02T07:01:22,2013-07-02T07:03:22,SDO
25,SOL2013-07-02T07:02:22L009C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T07:02:22,2013-07-02T07:10:58,SDO
26,SOL2013-07-02T07:43:00L080C090,B7.6,-90.0,90.0,-90.0,90.0,2013-07-02T07:43:00,2013-07-02T07:52:00,GOES
27,SOL2013-07-02T07:44:46L008C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T07:44:46,2013-07-02T07:51:34,SDO
28,SOL2013-07-02T07:54:00L000C096,B7.8,-81.5,-80.5,-6.5,-5.5,2013-07-02T07:54:00,2013-07-02T08:02:00,GOES
29,SOL2013-07-02T07:55:10L008C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T07:55:10,2013-07-02T08:03:34,SDO
30,SOL2013-07-02T08:04:10L152C100,,844.8,921.6,-230.4,-153.6,2013-07-02T08:04:10,2013-07-02T08:08:34,SDO
31,SOL2013-07-02T08:37:22L010C095,,-921.6,-844.8,-153.6,-76.8,2013-07-02T08:37:22,2013-07-02T08:39:22,SDO
32,SOL2013-07-02T08:59:34L152C100,,844.8,921.6,-230.4,-153.6,2013-07-02T08:59:34,2013-07-02T09:03:58,SDO
33,SOL2013-07-02T09:13:34L007C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T09:13:34,2013-07-02T09:16:10,SDO
34,SOL2013-07-02T09:18:10L003C105,,-921.6,-844.8,-307.2,-230.4,2013-07-02T09:18:10,2013-07-02T09:21:10,SDO
35,SOL2013-07-02T09:24:00L359C096,B7.7,-81.5,-80.5,-6.5,-5.5,2013-07-02T09:24:00,2013-07-02T09:32:00,GOES
36,SOL2013-07-02T09:25:58L007C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T09:25:58,2013-07-02T09:30:22,SDO
37,SOL2013-07-02T09:39:22L151C100,,844.8,921.6,-230.4,-153.6,2013-07-02T09:39:22,2013-07-02T09:46:22,SDO
38,SOL2013-07-02T10:18:46L151C100,,844.8,921.6,-230.4,-153.6,2013-07-02T10:18:46,2013-07-02T10:29:22,SDO
39,SOL2013-07-02T10:47:58L151C100,,844.8,921.6,-230.4,-153.6,2013-07-02T10:47:58,2013-07-02T10:54:58,SDO
40,SOL2013-07-02T10:54:58L006C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T10:54:58,2013-07-02T11:01:46,SDO
41,SOL2013-07-02T11:18:34L006C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T11:18:34,2013-07-02T11:20:34,SDO
42,SOL2013-07-02T12:04:46L150C100,,844.8,921.6,-230.4,-153.6,2013-07-02T12:04:46,2013-07-02T12:16:46,SDO
43,SOL2013-07-02T12:05:10L006C100,,-998.4,-844.8,-230.4,-153.6,2013-07-02T12:05:10,2013-07-02T12:21:34,SDO
44,SOL2013-07-02T12:22:34L006C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T12:22:34,2013-07-02T12:24:58,SDO
45,SOL2013-07-02T12:40:00L078C090,C1.1,-90.0,90.0,-90.0,90.0,2013-07-02T12:40:00,2013-07-02T12:54:00,GOES
46,SOL2013-07-02T12:41:10L005C100,,-998.4,-844.8,-230.4,-153.6,2013-07-02T12:41:10,2013-07-02T12:53:22,SDO
47,SOL2013-07-02T13:08:00L077C090,B8.6,-90.0,90.0,-90.0,90.0,2013-07-02T13:08:00,2013-07-02T13:18:00,GOES
48,SOL2013-07-02T13:09:22L005C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T13:09:22,2013-07-02T13:16:58,SDO
49,SOL2013-07-02T13:52:22L149C100,,844.8,921.6,-230.4,-153.6,2013-07-02T13:52:22,2013-07-02T13:56:34,SDO
50,SOL2013-07-02T14:24:46L149C100,,844.8,921.6,-230.4,-153.6,2013-07-02T14:24:46,2013-07-02T14:27:46,SDO
51,SOL2013-07-02T15:01:34L004C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T15:01:34,2013-07-02T15:06:58,SDO
52,SOL2013-07-02T15:50:58L004C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T15:50:58,2013-07-02T16:01:22,SDO
53,SOL2013-07-02T15:52:01L004C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T15:52:01,2013-07-02T15:59:13,SDO
54,SOL2013-07-02T15:52:12L004C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T15:52:12,2013-07-02T15:56:24,SDO
55,SOL2013-07-02T15:56:46L148C100,,844.8,998.4,-460.8,-153.6,2013-07-02T15:56:46,2013-07-02T16:00:22,SDO
56,SOL2013-07-02T16:15:22L004C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T16:15:22,2013-07-02T16:18:10,SDO
57,SOL2013-07-02T16:52:46L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T16:52:46,2013-07-02T17:15:10,SDO
58,SOL2013-07-02T17:36:22L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T17:36:22,2013-07-02T17:38:34,SDO
59,SOL2013-07-02T17:45:00L000C100,C7.1,-75.5,-74.5,-10.5,-9.5,2013-07-02T17:45:00,2013-07-02T17:52:00,GOES
60,SOL2013-07-02T17:46:22L003C100,,-921.6,-844.8,-307.2,-153.6,2013-07-02T17:46:22,2013-07-02T17:55:34,SDO
61,SOL2013-07-02T17:46:32L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T17:46:32,2013-07-02T17:51:56,SDO
62,SOL2013-07-02T17:46:36L003C100,,-921.6,-844.8,-307.2,-153.6,2013-07-02T17:46:36,2013-07-02T17:55:48,SDO
63,SOL2013-07-02T17:46:37L003C100,,-921.6,-844.8,-307.2,-153.6,2013-07-02T17:46:37,2013-07-02T18:02:01,SDO
64,SOL2013-07-02T17:46:40L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T17:46:40,2013-07-02T18:01:16,SDO
65,SOL2013-07-02T17:46:50L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T17:46:50,2013-07-02T18:00:14,SDO
66,SOL2013-07-02T17:56:00L003C100,,-921.6,-844.8,-230.4,-153.6,2013-07-02T17:56:00,2013-07-02T18:00:48,SDO
67,SOL2013-07-02T18:43:34L146C100,,844.8,921.6,-230.4,-153.6,2013-07-02T18:43:34,2013-07-02T18:46:58,SDO
