,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2015-04-01T02:31:10L015C103,,844.7999877929688,921.5999755859375,-230.39999389648438,-153.60000610351562,2015-04-01T02:31:10,2015-04-01T02:33:22,SDO
1,SOL2015-04-01T05:13:10L358C110,,691.2000122070312,768.0,-307.20001220703125,-230.39999389648438,2015-04-01T05:13:10,2015-04-01T05:16:34,SDO
2,SOL2015-04-01T20:44:34L206C101,,-998.4000244140625,-921.5999755859375,-230.39999389648438,-153.60000610351562,2015-04-01T20:44:34,2015-04-01T20:46:46,SDO
3,SOL2015-04-02T02:45:10L350C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2015-04-02T02:45:10,2015-04-02T02:56:22,SDO
4,SOL2015-04-02T04:19:00L351C082,C1.3,59.0,61.0,7.0,9.0,2015-04-02T04:19:00,2015-04-02T06:26:00,SDO
5,SOL2015-04-02T04:19:00L291C090,C1.3,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2015-04-02T04:19:00,2015-04-02T06:26:00,GOES
6,SOL2015-04-02T05:21:10L201C092,,-998.4000244140625,-921.5999755859375,-76.80000305175781,0.0,2015-04-02T05:21:10,2015-04-02T05:49:34,SDO
7,SOL2015-04-02T05:22:10L349C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2015-04-02T05:22:10,2015-04-02T05:30:46,SDO
8,SOL2015-04-02T05:23:19L349C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2015-04-02T05:23:19,2015-04-02T05:26:07,SDO
9,SOL2015-04-02T07:23:34L327C079,,537.5999755859375,614.4000244140625,230.39999389648438,307.20001220703125,2015-04-02T07:23:34,2015-04-02T07:25:34,SDO
10,SOL2015-04-02T08:46:34L347C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2015-04-02T08:46:34,2015-04-02T08:54:10,SDO
11,SOL2015-04-02T08:47:31L347C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2015-04-02T08:47:31,2015-04-02T08:50:19,SDO
12,SOL2015-04-02T12:38:58L015C096,,921.5999755859375,998.4000244140625,-153.60000610351562,-76.80000305175781,2015-04-02T12:38:58,2015-04-02T12:48:22,SDO
13,SOL2015-04-02T13:42:00L001C112,B8.3,75.5,76.5,-22.5,-21.5,2015-04-02T13:42:00,2015-04-02T13:53:00,GOES
14,SOL2015-04-02T13:42:00L000C110,B8.3,74.0,76.0,-21.0,-19.0,2015-04-02T13:42:00,2015-04-02T13:53:00,SDO
15,SOL2015-04-02T13:42:22L000C108,,844.7999877929688,921.5999755859375,-307.20001220703125,-230.39999389648438,2015-04-02T13:42:22,2015-04-02T13:49:46,SDO
16,SOL2015-04-02T13:44:46L198C105,,-998.4000244140625,-921.5999755859375,-307.20001220703125,-230.39999389648438,2015-04-02T13:44:46,2015-04-02T13:50:58,SDO
17,SOL2015-04-02T14:09:46L014C096,,921.5999755859375,998.4000244140625,-153.60000610351562,-76.80000305175781,2015-04-02T14:09:46,2015-04-02T14:18:34,SDO
18,SOL2015-04-02T14:20:22L334C115,,614.4000244140625,691.2000122070312,-384.0,-307.20001220703125,2015-04-02T14:20:22,2015-04-02T14:25:46,SDO
19,SOL2015-04-02T21:57:00L282C090,C1.0,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2015-04-02T21:57:00,2015-04-02T22:07:00,GOES
20,SOL2015-04-02T21:57:00L003C099,C1.0,81.0,83.0,-10.0,-8.0,2015-04-02T21:57:00,2015-04-02T22:07:00,SDO
21,SOL2015-04-02T21:59:34L010C096,,921.5999755859375,998.4000244140625,-230.39999389648438,-76.80000305175781,2015-04-02T21:59:34,2015-04-02T22:05:10,SDO
22,SOL2015-04-03T06:51:00L277C090,C1.7,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2015-04-03T06:51:00,2015-04-03T07:58:00,GOES
23,SOL2015-04-03T06:51:00L196C091,C1.7,-82.0,-80.0,-2.0,0.0,2015-04-03T06:51:00,2015-04-03T07:58:00,SDO
