,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2010-05-01T01:24:17L162C065,,-801.0,-945.0,484.0,351.0,2010-05-01T01:24:17,2010-05-01T03:07:25,SDO
1,SOL2010-05-01T01:34:00L169C066,C5.7,-82.0,-80.0,23.0,25.0,2010-05-01T01:34:00,2010-05-01T01:43:00,SDO
2,SOL2010-05-01T01:34:00L177C067,C5.7,-73.5,-72.5,22.5,23.5,2010-05-01T01:34:00,2010-05-01T01:43:00,GOES
3,SOL2010-05-01T05:23:00L249C090,B1.6,-90.0,90.0,-90.0,90.0,2010-05-01T05:23:00,2010-05-01T05:31:00,GOES
4,SOL2010-05-01T05:23:00L173C068,B1.6,-76.0,-74.0,21.0,23.0,2010-05-01T05:23:00,2010-05-01T05:31:00,SDO
5,SOL2010-05-01T09:48:00L167C065,B1.0,-79.0,-77.0,24.0,26.0,2010-05-01T09:48:00,2010-05-01T09:52:00,SDO
6,SOL2010-05-01T09:48:00L246C090,B1.0,-90.0,90.0,-90.0,90.0,2010-05-01T09:48:00,2010-05-01T09:59:00,GOES
7,SOL2010-05-02T06:03:00L173C066,B2.9,-62.0,-60.0,23.0,25.0,2010-05-02T06:03:00,2010-05-02T06:09:00,SDO
8,SOL2010-05-02T06:03:00L235C090,B2.9,-90.0,90.0,-90.0,90.0,2010-05-02T06:03:00,2010-05-02T06:18:00,GOES
9,SOL2010-05-02T10:02:00L250C124,B3.8,16.0,18.0,-35.0,-33.0,2010-05-02T10:02:00,2010-05-02T10:09:00,SDO
10,SOL2010-05-02T10:02:00L233C090,B3.8,-90.0,90.0,-90.0,90.0,2010-05-02T10:02:00,2010-05-02T10:15:00,GOES
11,SOL2010-05-02T15:09:00L141C108,B1.1,-89.0,-87.0,-19.0,-17.0,2010-05-02T15:09:00,2010-05-02T15:14:00,SDO
12,SOL2010-05-02T15:09:00L230C090,B1.1,-90.0,90.0,-90.0,90.0,2010-05-02T15:09:00,2010-05-02T15:20:00,GOES
13,SOL2010-05-02T16:22:00L173C067,B1.9,-56.0,-54.0,22.0,24.0,2010-05-02T16:22:00,2010-05-02T16:29:00,SDO
14,SOL2010-05-02T16:22:00L229C090,B1.9,-90.0,90.0,-90.0,90.0,2010-05-02T16:22:00,2010-05-02T16:29:00,GOES
15,SOL2010-05-02T17:55:00L174C065,B1.2,-55.0,-53.0,24.0,26.0,2010-05-02T17:55:00,2010-05-02T17:59:00,SDO
16,SOL2010-05-02T17:55:00L229C090,B1.2,-90.0,90.0,-90.0,90.0,2010-05-02T17:55:00,2010-05-02T18:10:00,GOES
17,SOL2010-05-02T20:55:00L227C090,B1.4,-90.0,90.0,-90.0,90.0,2010-05-02T20:55:00,2010-05-02T21:03:00,GOES
18,SOL2010-05-02T20:55:00L175C066,B1.4,-52.0,-50.0,23.0,25.0,2010-05-02T20:55:00,2010-05-02T21:03:00,SDO
19,SOL2010-05-02T21:42:00L227C090,B1.5,-90.0,90.0,-90.0,90.0,2010-05-02T21:42:00,2010-05-02T21:58:00,GOES
20,SOL2010-05-02T21:42:00L175C066,B1.5,-52.0,-50.0,23.0,25.0,2010-05-02T21:42:00,2010-05-02T21:58:00,SDO
21,SOL2010-05-03T12:52:00L129C108,B2.0,-89.0,-87.0,-19.0,-17.0,2010-05-03T12:52:00,2010-05-03T12:57:00,SDO
22,SOL2010-05-03T12:52:00L218C090,B2.0,-90.0,90.0,-90.0,90.0,2010-05-03T12:52:00,2010-05-03T13:02:00,GOES
23,SOL2010-05-03T13:38:00L218C090,B1.5,-90.0,90.0,-90.0,90.0,2010-05-03T13:38:00,2010-05-03T13:43:00,GOES
24,SOL2010-05-03T13:38:00L267C073,B1.5,48.0,50.0,16.0,18.0,2010-05-03T13:38:00,2010-05-03T13:43:00,SDO
25,SOL2010-05-03T15:00:00L207C116,B1.4,-11.0,-9.0,-27.0,-25.0,2010-05-03T15:00:00,2010-05-03T15:07:00,SDO
26,SOL2010-05-03T15:00:00L217C090,B1.4,-90.0,90.0,-90.0,90.0,2010-05-03T15:00:00,2010-05-03T15:07:00,GOES
27,SOL2010-05-03T21:50:00L209C116,B1.0,-5.0,-3.0,-27.0,-25.0,2010-05-03T21:50:00,2010-05-03T21:56:00,SDO
28,SOL2010-05-03T21:50:00L213C090,B1.0,-90.0,90.0,-90.0,90.0,2010-05-03T21:50:00,2010-05-03T21:56:00,GOES
29,SOL2010-05-04T04:42:00L133C109,B1.7,-76.0,-74.0,-20.0,-18.0,2010-05-04T04:42:00,2010-05-04T04:49:00,SDO
30,SOL2010-05-04T04:42:00L209C090,B1.7,-90.0,90.0,-90.0,90.0,2010-05-04T04:42:00,2010-05-04T04:49:00,GOES
31,SOL2010-05-04T05:50:00L208C115,B1.4,-2.0,0.0,-26.0,-24.0,2010-05-04T05:50:00,2010-05-04T08:15:00,SDO
32,SOL2010-05-04T11:00:00L228C050,B1.9,21.0,23.0,39.0,41.0,2010-05-04T11:00:00,2010-05-04T11:08:00,SDO
33,SOL2010-05-04T11:00:00L206C090,B2.0,-90.0,90.0,-90.0,90.0,2010-05-04T11:00:00,2010-05-04T11:32:00,GOES
34,SOL2010-05-04T12:05:00L205C090,B1.3,-90.0,90.0,-90.0,90.0,2010-05-04T12:05:00,2010-05-04T12:12:00,GOES
35,SOL2010-05-04T12:05:00L228C049,B1.3,22.0,24.0,40.0,42.0,2010-05-04T12:05:00,2010-05-04T12:12:00,SDO
36,SOL2010-05-04T12:39:00L229C050,B1.7,23.0,25.0,39.0,41.0,2010-05-04T12:39:00,2010-05-04T12:44:00,SDO
37,SOL2010-05-04T12:39:00L205C090,B1.7,-90.0,90.0,-90.0,90.0,2010-05-04T12:39:00,2010-05-04T12:51:00,GOES
38,SOL2010-05-04T14:13:00L226C050,B2.4,21.0,23.0,39.0,41.0,2010-05-04T14:13:00,2010-05-04T14:20:00,SDO
39,SOL2010-05-04T14:13:00L204C090,B2.4,-90.0,90.0,-90.0,90.0,2010-05-04T14:13:00,2010-05-04T14:25:00,GOES
40,SOL2010-05-04T16:15:00L226C049,C3.6,22.0,24.0,40.0,42.0,2010-05-04T16:15:00,2010-05-04T16:29:00,SDO
41,SOL2010-05-04T16:15:00L226C049,C3.6,22.5,23.5,40.5,41.5,2010-05-04T16:15:00,2010-05-04T16:34:00,GOES
42,SOL2010-05-04T19:11:00L233C047,B1.1,30.0,32.0,42.0,44.0,2010-05-04T19:11:00,2010-05-04T19:19:00,SDO
43,SOL2010-05-04T19:11:00L202C090,B1.6,-90.0,90.0,-90.0,90.0,2010-05-04T19:11:00,2010-05-05T00:34:00,GOES
44,SOL2010-05-05T00:55:00L198C090,B1.6,-90.0,90.0,-90.0,90.0,2010-05-05T00:55:00,2010-05-05T01:11:00,GOES
45,SOL2010-05-05T00:55:00L225C049,B1.6,26.0,28.0,40.0,42.0,2010-05-05T00:55:00,2010-05-05T01:11:00,SDO
46,SOL2010-05-05T07:09:00L226C049,C2.3,30.0,32.0,40.0,42.0,2010-05-05T07:09:00,2010-05-05T07:16:00,SDO
