,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2011-01-01T00:17:00L256C090,B2.3,-90.0,90.0,-90.0,90.0,2011-01-01T00:17:00,2011-01-01T00:30:00,GOES
1,SOL2011-01-01T00:49:00L255C090,B2.2,-90.0,90.0,-90.0,90.0,2011-01-01T00:49:00,2011-01-01T00:57:00,GOES
2,SOL2011-01-01T00:49:00L255C090,B2.2,-90.0,90.0,-90.0,90.0,2011-01-01T00:49:00,2011-01-01T00:57:00,GOES
3,SOL2011-01-01T00:49:00L186C060,B2.2,-70.0,-68.0,29.0,31.0,2011-01-01T00:49:00,2011-01-01T00:57:00,SDO
4,SOL2011-01-01T18:11:00L246C090,B2.1,-90.0,90.0,-90.0,90.0,2011-01-01T18:11:00,2011-01-01T18:20:00,GOES
5,SOL2011-01-01T18:11:00L188C060,B2.1,-59.0,-57.0,29.0,31.0,2011-01-01T18:11:00,2011-01-01T18:20:00,STEREO
6,SOL2011-01-01T18:11:00L246C090,B2.1,-90.0,90.0,-90.0,90.0,2011-01-01T18:11:00,2011-01-01T18:20:00,GOES
7,SOL2011-01-01T18:12:49L187C061,,-768.0,-691.2,460.8,537.6,2011-01-01T18:12:49,2011-01-01T18:15:25,SDO
8,SOL2011-01-01T18:12:50L187C061,,-768.0,-691.2,460.8,537.6,2011-01-01T18:12:50,2011-01-01T18:15:38,SDO
9,SOL2011-01-01T19:37:00L245C090,B3.1,-90.0,90.0,-90.0,90.0,2011-01-01T19:37:00,2011-01-01T19:51:00,GOES
10,SOL2011-01-01T21:52:00L188C060,B8.3,-56.5,-55.5,29.5,30.5,2011-01-01T21:52:00,2011-01-01T22:06:00,GOES
11,SOL2011-01-01T21:55:01L185C061,,-768.0,-691.2,460.8,537.6,2011-01-01T21:55:01,2011-01-01T21:58:25,SDO
12,SOL2011-01-01T21:55:21L185C061,,-768.0,-691.2,460.8,537.6,2011-01-01T21:55:21,2011-01-01T22:01:45,SDO
13,SOL2011-01-01T21:55:26L185C061,,-768.0,-691.2,460.8,537.6,2011-01-01T21:55:26,2011-01-01T22:00:26,SDO
14,SOL2011-01-01T21:55:32L185C061,,-768.0,-691.2,460.8,537.6,2011-01-01T21:55:32,2011-01-01T22:00:32,SDO
15,SOL2011-01-01T21:55:59L185C061,,-768.0,-691.2,460.8,537.6,2011-01-01T21:55:59,2011-01-01T22:03:59,SDO
16,SOL2011-01-02T09:03:00L238C090,B4.6,-90.0,90.0,-90.0,90.0,2011-01-02T09:03:00,2011-01-02T09:22:00,GOES
17,SOL2011-01-02T16:01:00L183C061,B3.0,-52.0,-50.0,28.0,30.0,2011-01-02T16:01:00,2011-01-02T16:10:00,STEREO
