,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2011-03-31T22:59:49L133C076,,-307.2,-230.4,307.2,384.0,2011-03-31T22:59:49,2011-04-01T00:02:37,SDO
1,SOL2011-04-01T01:02:23L195C106,,614.4,691.2,-230.4,-153.6,2011-04-01T01:02:23,2011-04-01T01:07:35,SDO
2,SOL2011-04-01T01:40:23L196C110,,614.4,691.2,-307.2,-153.6,2011-04-01T01:40:23,2011-04-01T02:16:11,SDO
3,SOL2011-04-01T01:43:25L196C110,,614.4,691.2,-307.2,-153.6,2011-04-01T01:43:25,2011-04-01T01:54:01,SDO
4,SOL2011-04-01T01:45:02L196C110,,614.4,691.2,-307.2,-153.6,2011-04-01T01:45:02,2011-04-01T01:53:02,SDO
5,SOL2011-04-01T01:46:00L134C075,C3.4,-15.0,-13.0,14.0,16.0,2011-04-01T01:46:00,2011-04-01T02:07:00,SDO
6,SOL2011-04-01T01:46:00L148C090,C3.4,-90.0,90.0,-90.0,90.0,2011-04-01T01:46:00,2011-04-01T02:07:00,GOES
7,SOL2011-04-01T01:48:23L132C076,,-307.2,-153.6,307.2,460.8,2011-04-01T01:48:23,2011-04-01T02:06:59,SDO
8,SOL2011-04-01T01:48:49L132C076,,-307.2,-153.6,307.2,384.0,2011-04-01T01:48:49,2011-04-01T01:54:49,SDO
9,SOL2011-04-01T01:48:50L132C076,,-307.2,-153.6,307.2,384.0,2011-04-01T01:48:50,2011-04-01T02:47:26,SDO
10,SOL2011-04-01T01:48:56L132C076,,-307.2,-153.6,307.2,384.0,2011-04-01T01:48:56,2011-04-01T02:44:08,SDO
11,SOL2011-04-01T01:48:57L132C076,,-307.2,-153.6,307.2,384.0,2011-04-01T01:48:57,2011-04-01T02:16:57,SDO
12,SOL2011-04-01T01:49:05L132C076,,-307.2,-230.4,307.2,384.0,2011-04-01T01:49:05,2011-04-01T02:36:17,SDO
13,SOL2011-04-01T01:49:15L132C076,,-307.2,-230.4,307.2,384.0,2011-04-01T01:49:15,2011-04-01T02:18:03,SDO
14,SOL2011-04-01T01:49:20L194C106,,614.4,691.2,-230.4,-153.6,2011-04-01T01:49:20,2011-04-01T01:53:20,SDO
15,SOL2011-04-01T01:49:21L194C106,,614.4,691.2,-230.4,-153.6,2011-04-01T01:49:21,2011-04-01T01:53:09,SDO
16,SOL2011-04-01T02:24:37L136C076,,-230.4,-153.6,307.2,384.0,2011-04-01T02:24:37,2011-04-01T02:38:13,SDO
17,SOL2011-04-01T02:24:59L136C076,,-230.4,-153.6,307.2,460.8,2011-04-01T02:24:59,2011-04-01T02:34:47,SDO
18,SOL2011-04-01T02:45:59L194C106,,614.4,691.2,-230.4,-153.6,2011-04-01T02:45:59,2011-04-01T02:58:11,SDO
19,SOL2011-04-01T03:44:47L200C105,,614.4,768.0,-307.2,-153.6,2011-04-01T03:44:47,2011-04-01T04:01:47,SDO
20,SOL2011-04-01T03:48:00L196C108,C3.1,47.0,49.0,-19.0,-17.0,2011-04-01T03:48:00,2011-04-01T03:59:00,SDO
21,SOL2011-04-01T03:48:00L147C090,C3.1,-90.0,90.0,-90.0,90.0,2011-04-01T03:48:00,2011-04-01T03:59:00,GOES
22,SOL2011-04-01T03:51:49L195C110,,614.4,768.0,-307.2,-153.6,2011-04-01T03:51:49,2011-04-01T04:02:13,SDO
23,SOL2011-04-01T03:51:50L195C110,,614.4,768.0,-307.2,-153.6,2011-04-01T03:51:50,2011-04-01T04:03:38,SDO
24,SOL2011-04-01T03:52:56L202C110,,691.2,768.0,-307.2,-153.6,2011-04-01T03:52:56,2011-04-01T04:01:56,SDO
25,SOL2011-04-01T03:52:57L202C110,,691.2,768.0,-307.2,-153.6,2011-04-01T03:52:57,2011-04-01T04:02:21,SDO
26,SOL2011-04-01T03:53:17L202C110,,691.2,768.0,-307.2,-153.6,2011-04-01T03:53:17,2011-04-01T04:09:05,SDO
27,SOL2011-04-01T04:04:23L160C117,,153.6,230.4,-384.0,-307.2,2011-04-01T04:04:23,2011-04-01T04:09:11,SDO
28,SOL2011-04-01T04:07:13L200C105,,691.2,768.0,-230.4,-153.6,2011-04-01T04:07:13,2011-04-01T04:10:25,SDO
29,SOL2011-04-01T04:38:47L140C076,,-153.6,-76.8,307.2,384.0,2011-04-01T04:38:47,2011-04-01T04:40:47,SDO
30,SOL2011-04-01T04:51:47L140C076,,-153.6,-76.8,307.2,384.0,2011-04-01T04:51:47,2011-04-01T04:54:47,SDO
31,SOL2011-04-01T04:55:01L130C076,,-307.2,-230.4,307.2,384.0,2011-04-01T04:55:01,2011-04-01T04:57:25,SDO
32,SOL2011-04-01T04:55:02L130C076,,-307.2,-230.4,307.2,384.0,2011-04-01T04:55:02,2011-04-01T04:57:50,SDO
33,SOL2011-04-01T05:41:37L129C076,,-307.2,-230.4,307.2,384.0,2011-04-01T05:41:37,2011-04-01T05:44:01,SDO
34,SOL2011-04-01T05:41:50L129C076,,-307.2,-230.4,307.2,384.0,2011-04-01T05:41:50,2011-04-01T05:43:50,SDO
35,SOL2011-04-01T07:56:59L143C076,,-76.8,0.0,307.2,384.0,2011-04-01T07:56:59,2011-04-01T08:00:11,SDO
36,SOL2011-04-01T07:57:01L143C076,,-76.8,0.0,307.2,384.0,2011-04-01T07:57:01,2011-04-01T08:00:37,SDO
37,SOL2011-04-01T10:14:59L132C076,,-230.4,-153.6,307.2,384.0,2011-04-01T10:14:59,2011-04-01T10:21:47,SDO
38,SOL2011-04-01T10:46:11L131C076,,-230.4,-153.6,307.2,384.0,2011-04-01T10:46:11,2011-04-01T13:15:11,SDO
39,SOL2011-04-01T12:15:35L197C110,,691.2,768.0,-307.2,-153.6,2011-04-01T12:15:35,2011-04-01T12:18:59,SDO
40,SOL2011-04-01T12:37:23L155C066,,153.6,230.4,460.8,537.6,2011-04-01T12:37:23,2011-04-01T12:39:59,SDO
41,SOL2011-04-01T14:27:11L194C105,,691.2,768.0,-230.4,-153.6,2011-04-01T14:27:11,2011-04-01T14:30:59,SDO
42,SOL2011-04-01T20:05:47L126C071,,-230.4,-153.6,384.0,460.8,2011-04-01T20:05:47,2011-04-01T20:10:35,SDO
43,SOL2011-04-01T20:06:13L126C071,,-230.4,-153.6,384.0,460.8,2011-04-01T20:06:13,2011-04-01T20:08:13,SDO
44,SOL2011-04-01T21:06:47L201C109,,768.0,844.8,-307.2,-230.4,2011-04-01T21:06:47,2011-04-01T21:09:59,SDO
45,SOL2011-04-01T21:11:59L135C076,,-76.8,0.0,307.2,384.0,2011-04-01T21:11:59,2011-04-01T21:16:47,SDO
46,SOL2011-04-01T21:28:35L209C103,,844.8,921.6,-230.4,-153.6,2011-04-01T21:28:35,2011-04-01T21:36:59,SDO
47,SOL2011-04-01T22:18:23L130C071,,-230.4,-76.8,307.2,460.8,2011-04-01T22:18:23,2011-04-01T22:28:11,SDO
48,SOL2011-04-01T22:18:25L130C071,,-153.6,-76.8,307.2,460.8,2011-04-01T22:18:25,2011-04-01T22:22:49,SDO
49,SOL2011-04-01T22:18:50L130C071,,-230.4,-76.8,307.2,460.8,2011-04-01T22:18:50,2011-04-01T22:24:38,SDO
50,SOL2011-04-01T22:19:00L128C073,B6.8,-10.0,-8.0,16.0,18.0,2011-04-01T22:19:00,2011-04-01T22:26:00,SDO
51,SOL2011-04-01T22:19:00L127C073,B6.8,-10.5,-9.5,16.5,17.5,2011-04-01T22:19:00,2011-04-01T22:26:00,GOES
