,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2012-07-01T00:08:23L209C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T00:08:23,2012-07-01T00:10:47,SDO
1,SOL2012-07-01T00:39:02L219C076,,-307.2,-230.4,153.6,230.4,2012-07-01T00:39:02,2012-07-01T00:41:02,SDO
2,SOL2012-07-01T00:39:08L219C076,,-307.2,-230.4,153.6,230.4,2012-07-01T00:39:08,2012-07-01T00:41:08,SDO
3,SOL2012-07-01T01:01:11L208C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T01:01:11,2012-07-01T01:03:47,SDO
4,SOL2012-07-01T01:02:00L219C073,C1.3,-17.5,-16.5,16.5,17.5,2012-07-01T01:02:00,2012-07-01T01:10:00,GOES
5,SOL2012-07-01T01:02:00L222C076,C1.3,-15.0,-13.0,13.0,15.0,2012-07-01T01:02:00,2012-07-01T01:10:00,SDO
6,SOL2012-07-01T01:03:01L224C076,,-307.2,-153.6,153.6,230.4,2012-07-01T01:03:01,2012-07-01T01:18:13,SDO
7,SOL2012-07-01T01:03:23L224C076,,-230.4,-153.6,153.6,230.4,2012-07-01T01:03:23,2012-07-01T01:09:59,SDO
8,SOL2012-07-01T01:03:38L224C076,,-230.4,-153.6,153.6,230.4,2012-07-01T01:03:38,2012-07-01T01:06:38,SDO
9,SOL2012-07-01T01:05:44L219C076,,-307.2,-230.4,153.6,230.4,2012-07-01T01:05:44,2012-07-01T01:09:08,SDO
10,SOL2012-07-01T01:27:00L236C090,B6.4,-90.0,90.0,-90.0,90.0,2012-07-01T01:27:00,2012-07-01T01:32:00,GOES
11,SOL2012-07-01T01:27:00L209C105,B6.4,-28.0,-26.0,-16.0,-14.0,2012-07-01T01:27:00,2012-07-01T01:32:00,SDO
12,SOL2012-07-01T01:27:11L208C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T01:27:11,2012-07-01T01:32:47,SDO
13,SOL2012-07-01T01:27:25L208C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T01:27:25,2012-07-01T01:32:37,SDO
14,SOL2012-07-01T01:27:26L208C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T01:27:26,2012-07-01T01:33:50,SDO
15,SOL2012-07-01T01:27:32L208C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T01:27:32,2012-07-01T01:32:56,SDO
16,SOL2012-07-01T01:29:25L196C072,,-614.4,-537.6,230.4,307.2,2012-07-01T01:29:25,2012-07-01T01:32:01,SDO
17,SOL2012-07-01T01:29:26L196C072,,-614.4,-537.6,230.4,307.2,2012-07-01T01:29:26,2012-07-01T01:32:02,SDO
18,SOL2012-07-01T02:03:23L223C071,,-230.4,-153.6,230.4,307.2,2012-07-01T02:03:23,2012-07-01T02:05:35,SDO
19,SOL2012-07-01T02:21:23L207C108,,-460.8,-384.0,-384.0,-307.2,2012-07-01T02:21:23,2012-07-01T02:24:47,SDO
20,SOL2012-07-01T02:31:37L195C072,,-614.4,-537.6,230.4,307.2,2012-07-01T02:31:37,2012-07-01T02:35:49,SDO
21,SOL2012-07-01T02:36:37L195C072,,-614.4,-537.6,230.4,307.2,2012-07-01T02:36:37,2012-07-01T02:40:37,SDO
22,SOL2012-07-01T02:36:38L195C072,,-614.4,-537.6,230.4,307.2,2012-07-01T02:36:38,2012-07-01T02:40:38,SDO
23,SOL2012-07-01T02:40:47L207C108,,-460.8,-384.0,-384.0,-307.2,2012-07-01T02:40:47,2012-07-01T02:45:11,SDO
24,SOL2012-07-01T02:50:01L195C072,,-614.4,-537.6,230.4,307.2,2012-07-01T02:50:01,2012-07-01T02:54:01,SDO
25,SOL2012-07-01T03:03:35L223C076,,-230.4,-153.6,153.6,230.4,2012-07-01T03:03:35,2012-07-01T03:08:59,SDO
26,SOL2012-07-01T03:04:01L223C076,,-230.4,-153.6,153.6,230.4,2012-07-01T03:04:01,2012-07-01T03:06:25,SDO
27,SOL2012-07-01T03:04:02L223C076,,-230.4,-153.6,153.6,230.4,2012-07-01T03:04:02,2012-07-01T03:14:26,SDO
28,SOL2012-07-01T03:04:20L223C076,,-230.4,-153.6,153.6,230.4,2012-07-01T03:04:20,2012-07-01T03:06:32,SDO
29,SOL2012-07-01T03:20:47L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T03:20:47,2012-07-01T03:26:59,SDO
30,SOL2012-07-01T03:23:35L206C108,,-460.8,-307.2,-384.0,-307.2,2012-07-01T03:23:35,2012-07-01T03:26:47,SDO
31,SOL2012-07-01T03:40:11L267C104,,460.8,537.6,-307.2,-230.4,2012-07-01T03:40:11,2012-07-01T03:48:35,SDO
32,SOL2012-07-01T03:40:13L267C104,,460.8,537.6,-307.2,-230.4,2012-07-01T03:40:13,2012-07-01T03:50:37,SDO
33,SOL2012-07-01T03:40:20L267C104,,460.8,537.6,-307.2,-230.4,2012-07-01T03:40:20,2012-07-01T03:47:21,SDO
34,SOL2012-07-01T03:40:26L267C104,,460.8,537.6,-307.2,-230.4,2012-07-01T03:40:26,2012-07-01T03:47:26,SDO
35,SOL2012-07-01T03:49:01L194C072,,-614.4,-537.6,230.4,307.2,2012-07-01T03:49:01,2012-07-01T03:51:49,SDO
36,SOL2012-07-01T04:00:23L206C108,,-460.8,-384.0,-384.0,-307.2,2012-07-01T04:00:23,2012-07-01T04:05:35,SDO
37,SOL2012-07-01T04:08:13L194C072,,-614.4,-537.6,230.4,307.2,2012-07-01T04:08:13,2012-07-01T04:15:13,SDO
38,SOL2012-07-01T04:08:14L194C072,,-614.4,-537.6,230.4,307.2,2012-07-01T04:08:14,2012-07-01T04:21:14,SDO
39,SOL2012-07-01T04:16:32L194C072,,-614.4,-537.6,230.4,307.2,2012-07-01T04:16:32,2012-07-01T04:19:08,SDO
40,SOL2012-07-01T04:24:23L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T04:24:23,2012-07-01T04:28:59,SDO
41,SOL2012-07-01T04:24:35L207C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T04:24:35,2012-07-01T04:30:23,SDO
42,SOL2012-07-01T04:25:01L207C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T04:25:01,2012-07-01T04:28:49,SDO
43,SOL2012-07-01T04:25:02L207C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T04:25:02,2012-07-01T04:29:38,SDO
44,SOL2012-07-01T04:25:08L207C103,,-460.8,-384.0,-307.2,-230.4,2012-07-01T04:25:08,2012-07-01T04:29:32,SDO
45,SOL2012-07-01T04:33:11L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T04:33:11,2012-07-01T04:40:11,SDO
46,SOL2012-07-01T04:33:25L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T04:33:25,2012-07-01T04:39:37,SDO
47,SOL2012-07-01T04:33:50L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T04:33:50,2012-07-01T04:39:38,SDO
48,SOL2012-07-01T04:33:56L222C076,,-230.4,-153.6,153.6,230.4,2012-07-01T04:33:56,2012-07-01T04:39:20,SDO
49,SOL2012-07-01T04:35:23L200C072,,-537.6,-460.8,230.4,307.2,2012-07-01T04:35:23,2012-07-01T04:37:23,SDO
50,SOL2012-07-01T05:13:23L200C072,,-537.6,-460.8,230.4,307.2,2012-07-01T05:13:23,2012-07-01T05:15:35,SDO
51,SOL2012-07-01T05:46:11L205C108,,-460.8,-153.6,-384.0,-230.4,2012-07-01T05:46:11,2012-07-01T05:58:35,SDO
52,SOL2012-07-01T05:47:11L221C071,,-230.4,-153.6,153.6,307.2,2012-07-01T05:47:11,2012-07-01T05:51:59,SDO
53,SOL2012-07-01T05:48:14L221C076,,-230.4,-153.6,153.6,230.4,2012-07-01T05:48:14,2012-07-01T05:52:14,SDO
54,SOL2012-07-01T05:49:37L221C108,,-230.4,-153.6,-384.0,-307.2,2012-07-01T05:49:37,2012-07-01T05:52:49,SDO
55,SOL2012-07-01T05:49:38L221C108,,-230.4,-153.6,-384.0,-307.2,2012-07-01T05:49:38,2012-07-01T05:56:50,SDO
56,SOL2012-07-01T05:49:56L221C108,,-230.4,-153.6,-384.0,-307.2,2012-07-01T05:49:56,2012-07-01T05:55:32,SDO
57,SOL2012-07-01T05:49:57L221C108,,-230.4,-153.6,-384.0,-307.2,2012-07-01T05:49:57,2012-07-01T05:52:33,SDO
58,SOL2012-07-01T05:51:11L266C104,,460.8,537.6,-307.2,-230.4,2012-07-01T05:51:11,2012-07-01T05:53:35,SDO
59,SOL2012-07-01T06:07:11L199C072,,-537.6,-460.8,230.4,307.2,2012-07-01T06:07:11,2012-07-01T06:10:59,SDO
60,SOL2012-07-01T06:07:14L199C072,,-537.6,-460.8,230.4,307.2,2012-07-01T06:07:14,2012-07-01T06:11:14,SDO
61,SOL2012-07-01T06:08:20L199C072,,-537.6,-460.8,230.4,307.2,2012-07-01T06:08:20,2012-07-01T06:10:20,SDO
62,SOL2012-07-01T06:08:25L199C072,,-537.6,-460.8,230.4,307.2,2012-07-01T06:08:25,2012-07-01T06:10:25,SDO
63,SOL2012-07-01T06:13:59L199C072,,-537.6,-460.8,230.4,307.2,2012-07-01T06:13:59,2012-07-01T06:25:11,SDO
64,SOL2012-07-01T06:15:23L205C108,,-460.8,-384.0,-384.0,-307.2,2012-07-01T06:15:23,2012-07-01T06:18:23,SDO
65,SOL2012-07-01T06:37:11L221C076,,-230.4,-153.6,153.6,230.4,2012-07-01T06:37:11,2012-07-01T06:43:59,SDO
66,SOL2012-07-01T06:38:02L221C076,,-230.4,-153.6,153.6,230.4,2012-07-01T06:38:02,2012-07-01T06:41:38,SDO
67,SOL2012-07-01T07:01:11L199C072,,-614.4,-460.8,230.4,384.0,2012-07-01T07:01:11,2012-07-01T07:04:59,SDO
68,SOL2012-07-01T07:11:00L222C074,C5.4,-11.0,-9.0,15.0,17.0,2012-07-01T07:11:00,2012-07-01T07:20:00,SDO
