,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2012-10-01T00:11:13L189C079,,921.6,998.4,153.6,230.4,2012-10-01T00:11:13,2012-10-01T00:14:49,SDO
1,SOL2012-10-01T00:26:10L070C115,,-460.8,-384.0,-537.6,-460.8,2012-10-01T00:26:10,2012-10-01T00:30:58,SDO
2,SOL2012-10-01T01:29:00L099C090,C1.7,-90.0,90.0,-90.0,90.0,2012-10-01T01:29:00,2012-10-01T01:37:00,GOES
3,SOL2012-10-01T01:42:00L098C090,C4.8,-90.0,90.0,-90.0,90.0,2012-10-01T01:42:00,2012-10-01T01:50:00,GOES
4,SOL2012-10-01T01:45:48L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:45:48,2012-10-01T01:51:00,SDO
5,SOL2012-10-01T01:45:49L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:45:49,2012-10-01T01:50:37,SDO
6,SOL2012-10-01T01:45:58L188C075,,921.6,998.4,153.6,307.2,2012-10-01T01:45:58,2012-10-01T01:56:58,SDO
7,SOL2012-10-01T01:46:19L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:46:19,2012-10-01T01:50:19,SDO
8,SOL2012-10-01T01:46:20L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:46:20,2012-10-01T01:49:56,SDO
9,SOL2012-10-01T01:46:26L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:46:26,2012-10-01T01:56:50,SDO
10,SOL2012-10-01T01:46:28L188C079,,921.6,998.4,153.6,230.4,2012-10-01T01:46:28,2012-10-01T01:50:16,SDO
11,SOL2012-10-01T02:59:48L188C079,,921.6,998.4,153.6,230.4,2012-10-01T02:59:48,2012-10-01T03:04:00,SDO
12,SOL2012-10-01T02:59:49L188C079,,921.6,998.4,153.6,230.4,2012-10-01T02:59:49,2012-10-01T03:04:01,SDO
13,SOL2012-10-01T03:48:00L097C090,C1.6,-90.0,90.0,-90.0,90.0,2012-10-01T03:48:00,2012-10-01T03:54:00,GOES
14,SOL2012-10-01T04:58:00L097C090,C1.8,-90.0,90.0,-90.0,90.0,2012-10-01T04:58:00,2012-10-01T05:09:00,GOES
15,SOL2012-10-01T05:01:01L168C077,,844.8,998.4,76.8,230.4,2012-10-01T05:01:01,2012-10-01T05:19:13,SDO
16,SOL2012-10-01T05:02:34L085C104,,-230.4,-153.6,-384.0,-307.2,2012-10-01T05:02:34,2012-10-01T05:05:34,SDO
17,SOL2012-10-01T05:17:46L085C104,,-230.4,-153.6,-384.0,-307.2,2012-10-01T05:17:46,2012-10-01T05:19:58,SDO
18,SOL2012-10-01T06:17:00L096C090,C1.8,-90.0,90.0,-90.0,90.0,2012-10-01T06:17:00,2012-10-01T11:47:00,GOES
19,SOL2012-10-01T07:27:46L185C079,,844.8,998.4,0.0,230.4,2012-10-01T07:27:46,2012-10-01T09:07:58,SDO
20,SOL2012-10-01T08:16:00L095C090,C1.9,-90.0,90.0,-90.0,90.0,2012-10-01T08:16:00,2012-10-01T11:10:00,GOES
21,SOL2012-10-01T09:06:58L082C104,,-230.4,-153.6,-384.0,-307.2,2012-10-01T09:06:58,2012-10-01T09:10:10,SDO
22,SOL2012-10-01T10:00:46L184C079,,921.6,998.4,153.6,230.4,2012-10-01T10:00:46,2012-10-01T10:09:58,SDO
23,SOL2012-10-01T10:15:22L184C079,,921.6,998.4,153.6,230.4,2012-10-01T10:15:22,2012-10-01T10:25:58,SDO
24,SOL2012-10-01T10:49:22L183C079,,921.6,998.4,153.6,230.4,2012-10-01T10:49:22,2012-10-01T10:58:10,SDO
25,SOL2012-10-01T13:00:00L092C090,C4.8,-90.0,90.0,-90.0,90.0,2012-10-01T13:00:00,2012-10-01T13:26:00,GOES
26,SOL2012-10-01T13:01:22L182C079,,921.6,998.4,0.0,230.4,2012-10-01T13:01:22,2012-10-01T13:42:58,SDO
27,SOL2012-10-01T15:16:00L091C090,C2.3,-90.0,90.0,-90.0,90.0,2012-10-01T15:16:00,2012-10-01T15:29:00,GOES
28,SOL2012-10-01T15:20:46L181C084,,921.6,998.4,76.8,153.6,2012-10-01T15:20:46,2012-10-01T15:28:46,SDO
