,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2014-01-01T00:11:10L107C097,,-998.4,-921.6,-230.4,-76.8,2014-01-01T00:11:10,2014-01-01T00:50:58,SDO
1,SOL2014-01-01T01:24:46L177C104,,-307.2,-76.8,-307.2,0.0,2014-01-01T01:24:46,2014-01-01T01:49:58,SDO
2,SOL2014-01-01T01:27:24L172C104,,-307.2,-76.8,-307.2,0.0,2014-01-01T01:27:24,2014-01-01T01:49:12,SDO
3,SOL2014-01-01T01:28:25L172C104,,-307.2,-76.8,-230.4,0.0,2014-01-01T01:28:25,2014-01-01T01:54:49,SDO
4,SOL2014-01-01T01:28:43L176C104,,-307.2,-76.8,-230.4,0.0,2014-01-01T01:28:43,2014-01-01T01:49:43,SDO
5,SOL2014-01-01T01:29:56L177C099,,-230.4,-153.6,-153.6,-76.8,2014-01-01T01:29:56,2014-01-01T01:39:08,SDO
6,SOL2014-01-01T02:26:10L232C103,,614.4,691.2,-230.4,-153.6,2014-01-01T02:26:10,2014-01-01T02:31:34,SDO
7,SOL2014-01-01T03:11:46L231C103,,614.4,691.2,-230.4,-153.6,2014-01-01T03:11:46,2014-01-01T03:22:10,SDO
8,SOL2014-01-01T03:13:36L225C103,,537.6,614.4,-230.4,-153.6,2014-01-01T03:13:36,2014-01-01T03:20:00,SDO
9,SOL2014-01-01T03:21:19L225C103,,537.6,614.4,-230.4,-153.6,2014-01-01T03:21:19,2014-01-01T03:23:31,SDO
10,SOL2014-01-01T04:38:48L104C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T04:38:48,2014-01-01T04:43:24,SDO
11,SOL2014-01-01T04:38:49L104C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T04:38:49,2014-01-01T04:44:37,SDO
12,SOL2014-01-01T04:39:07L104C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T04:39:07,2014-01-01T04:43:31,SDO
13,SOL2014-01-01T04:39:46L107C092,,-998.4,-921.6,-153.6,0.0,2014-01-01T04:39:46,2014-01-01T04:44:58,SDO
14,SOL2014-01-01T05:45:34L213C104,,384.0,460.8,-230.4,-153.6,2014-01-01T05:45:34,2014-01-01T05:52:58,SDO
15,SOL2014-01-01T06:38:34L096C105,,-998.4,-921.6,-307.2,-230.4,2014-01-01T06:38:34,2014-01-01T06:43:22,SDO
16,SOL2014-01-01T06:45:00L186C090,C2.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2014-01-01T06:45:00,2014-01-01T06:52:00,GOES
17,SOL2014-01-01T06:45:00L096C094,C2.1,-90.0,-88.0,-5.0,-3.0,2014-01-01T06:45:00,2014-01-01T06:52:00,SDO
18,SOL2014-01-01T06:46:07L103C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T06:46:07,2014-01-01T06:52:07,SDO
19,SOL2014-01-01T06:46:12L103C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T06:46:12,2014-01-01T06:50:48,SDO
20,SOL2014-01-01T06:46:13L103C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T06:46:13,2014-01-01T06:50:49,SDO
21,SOL2014-01-01T06:47:58L103C097,,-998.4,-921.6,-153.6,0.0,2014-01-01T06:47:58,2014-01-01T07:05:34,SDO
22,SOL2014-01-01T06:50:34L213C104,,384.0,460.8,-230.4,-153.6,2014-01-01T06:50:34,2014-01-01T07:13:34,SDO
23,SOL2014-01-01T07:15:58L236C103,,614.4,768.0,-230.4,-153.6,2014-01-01T07:15:58,2014-01-01T07:31:46,SDO
24,SOL2014-01-01T07:19:22L103C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T07:19:22,2014-01-01T07:28:58,SDO
25,SOL2014-01-01T07:21:00L233C102,C3.2,46.5,47.5,-12.5,-11.5,2014-01-01T07:21:00,2014-01-01T07:29:00,GOES
26,SOL2014-01-01T07:21:00L233C102,C3.2,46.0,48.0,-13.0,-11.0,2014-01-01T07:21:00,2014-01-01T07:29:00,SDO
27,SOL2014-01-01T07:21:00L236C103,,614.4,768.0,-230.4,-153.6,2014-01-01T07:21:00,2014-01-01T07:28:12,SDO
28,SOL2014-01-01T07:22:07L236C103,,691.2,768.0,-230.4,-153.6,2014-01-01T07:22:07,2014-01-01T07:39:07,SDO
29,SOL2014-01-01T07:22:13L236C103,,614.4,768.0,-230.4,-153.6,2014-01-01T07:22:13,2014-01-01T07:42:01,SDO
30,SOL2014-01-01T07:22:32L236C103,,691.2,768.0,-230.4,-153.6,2014-01-01T07:22:32,2014-01-01T07:27:20,SDO
31,SOL2014-01-01T07:22:40L236C103,,691.2,768.0,-230.4,-153.6,2014-01-01T07:22:40,2014-01-01T07:41:04,SDO
32,SOL2014-01-01T07:23:38L236C103,,691.2,768.0,-230.4,-153.6,2014-01-01T07:23:38,2014-01-01T07:33:50,SDO
33,SOL2014-01-01T08:18:10L234C098,,691.2,768.0,-153.6,-76.8,2014-01-01T08:18:10,2014-01-01T08:22:58,SDO
34,SOL2014-01-01T08:51:34L211C104,,384.0,460.8,-230.4,-153.6,2014-01-01T08:51:34,2014-01-01T08:53:46,SDO
35,SOL2014-01-01T08:58:58L102C097,,-998.4,-921.6,-153.6,-76.8,2014-01-01T08:58:58,2014-01-01T09:01:10,SDO
36,SOL2014-01-01T08:59:10L228C103,,614.4,691.2,-230.4,-153.6,2014-01-01T08:59:10,2014-01-01T09:16:46,SDO
