,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2014-07-01T00:19:58L248C078,,-921.6,-768.0,153.6,307.2,2014-07-01T00:19:58,2014-07-01T01:14:46,SDO
1,SOL2014-07-01T00:20:36L248C078,,-921.6,-844.8,153.6,230.4,2014-07-01T00:20:36,2014-07-01T00:26:12,SDO
2,SOL2014-07-01T01:32:22L255C110,,-844.8,-768.0,-384.0,-307.2,2014-07-01T01:32:22,2014-07-01T01:34:58,SDO
3,SOL2014-07-01T02:35:46L275C077,,-691.2,-614.4,153.6,230.4,2014-07-01T02:35:46,2014-07-01T02:41:58,SDO
4,SOL2014-07-01T03:05:22L267C104,,-768.0,-691.2,-307.2,-153.6,2014-07-01T03:05:22,2014-07-01T03:12:10,SDO
5,SOL2014-07-01T03:51:00L267C097,C1.5,-52.5,-51.5,-7.5,-6.5,2014-07-01T03:51:00,2014-07-01T04:00:00,GOES
6,SOL2014-07-01T03:51:00L263C102,C1.5,-57.0,-55.0,-13.0,-11.0,2014-07-01T03:51:00,2014-07-01T04:00:00,SDO
7,SOL2014-07-01T03:53:10L268C099,,-768.0,-691.2,-230.4,-76.8,2014-07-01T03:53:10,2014-07-01T04:02:22,SDO
8,SOL2014-07-01T03:53:12L268C099,,-768.0,-691.2,-230.4,-76.8,2014-07-01T03:53:12,2014-07-01T03:55:36,SDO
9,SOL2014-07-01T03:53:13L268C099,,-768.0,-691.2,-230.4,-76.8,2014-07-01T03:53:13,2014-07-01T03:55:37,SDO
10,SOL2014-07-01T04:11:34L267C099,,-768.0,-691.2,-230.4,-153.6,2014-07-01T04:11:34,2014-07-01T04:13:34,SDO
11,SOL2014-07-01T04:27:34L258C077,,-844.8,-768.0,153.6,230.4,2014-07-01T04:27:34,2014-07-01T04:44:34,SDO
12,SOL2014-07-01T04:28:58L267C099,,-768.0,-691.2,-230.4,-153.6,2014-07-01T04:28:58,2014-07-01T04:31:46,SDO
13,SOL2014-07-01T04:35:00L258C077,,-844.8,-768.0,153.6,230.4,2014-07-01T04:35:00,2014-07-01T04:37:24,SDO
14,SOL2014-07-01T05:10:00L247C072,C4.8,-72.0,-70.0,17.0,19.0,2014-07-01T05:10:00,2014-07-01T06:33:00,SDO
15,SOL2014-07-01T05:10:00L254C075,C4.8,-64.5,-63.5,14.5,15.5,2014-07-01T05:10:00,2014-07-01T06:33:00,GOES
16,SOL2014-07-01T05:21:58L257C077,,-921.6,-768.0,153.6,384.0,2014-07-01T05:21:58,2014-07-01T06:52:46,SDO
17,SOL2014-07-01T05:22:00L257C077,,-844.8,-768.0,153.6,230.4,2014-07-01T05:22:00,2014-07-01T05:25:24,SDO
18,SOL2014-07-01T06:37:22L263C109,,-768.0,-691.2,-384.0,-307.2,2014-07-01T06:37:22,2014-07-01T06:41:46,SDO
19,SOL2014-07-01T07:06:58L228C101,,-998.4,-691.2,-384.0,-153.6,2014-07-01T07:06:58,2014-07-01T08:02:46,SDO
20,SOL2014-07-01T07:16:00L317C090,C6.6,-90.0,90.0,-90.0,90.0,2014-07-01T07:16:00,2014-07-01T08:05:00,GOES
21,SOL2014-07-01T07:16:00L252C110,C6.6,-66.0,-64.0,-21.0,-19.0,2014-07-01T07:16:00,2014-07-01T08:05:00,SDO
22,SOL2014-07-01T07:52:49L251C110,,-844.8,-768.0,-384.0,-307.2,2014-07-01T07:52:49,2014-07-01T08:29:37,SDO
23,SOL2014-07-01T07:53:07L251C110,,-844.8,-768.0,-384.0,-307.2,2014-07-01T07:53:07,2014-07-01T08:26:19,SDO
24,SOL2014-07-01T07:53:36L251C110,,-844.8,-768.0,-384.0,-307.2,2014-07-01T07:53:36,2014-07-01T08:38:36,SDO
25,SOL2014-07-01T08:02:22L256C077,,-844.8,-768.0,153.6,230.4,2014-07-01T08:02:22,2014-07-01T08:05:34,SDO
26,SOL2014-07-01T08:25:46L255C077,,-844.8,-768.0,153.6,230.4,2014-07-01T08:25:46,2014-07-01T08:28:22,SDO
