,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2014-10-01T00:44:10L244C102,,768.0,844.8,-307.2,-230.4,2014-10-01T00:44:10,2014-10-01T00:49:10,SDO
1,SOL2014-10-01T02:36:22L255C104,,768.0,921.6,-384.0,-230.4,2014-10-01T02:36:22,2014-10-01T04:07:22,SDO
2,SOL2014-10-01T02:40:00L248C102,C6.7,63.5,64.5,-12.5,-11.5,2014-10-01T02:40:00,2014-10-01T03:48:00,GOES
3,SOL2014-10-01T02:53:46L151C091,,-537.6,-460.8,-153.6,-76.8,2014-10-01T02:53:46,2014-10-01T03:01:22,SDO
4,SOL2014-10-01T03:01:24L243C102,,768.0,844.8,-307.2,-230.4,2014-10-01T03:01:24,2014-10-01T04:38:12,SDO
5,SOL2014-10-01T04:22:10L255C104,,844.8,921.6,-307.2,-230.4,2014-10-01T04:22:10,2014-10-01T04:43:10,SDO
6,SOL2014-10-01T05:07:10L150C091,,-537.6,-460.8,-153.6,-76.8,2014-10-01T05:07:10,2014-10-01T05:12:46,SDO
7,SOL2014-10-01T05:16:22L254C104,,844.8,921.6,-307.2,-230.4,2014-10-01T05:16:22,2014-10-01T05:32:46,SDO
8,SOL2014-10-01T05:17:24L254C104,,844.8,921.6,-307.2,-230.4,2014-10-01T05:17:24,2014-10-01T06:57:24,SDO
9,SOL2014-10-01T05:17:25L254C104,,844.8,921.6,-307.2,-230.4,2014-10-01T05:17:25,2014-10-01T06:50:37,SDO
10,SOL2014-10-01T05:38:22L254C104,,844.8,921.6,-307.2,-230.4,2014-10-01T05:38:22,2014-10-01T05:45:46,SDO
11,SOL2014-10-01T05:43:34L102C147,,-768.0,-691.2,-1228.8,-1152.0,2014-10-01T05:43:34,2014-10-01T05:45:34,SDO
12,SOL2014-10-01T06:31:34L257C072,,844.8,921.6,230.4,384.0,2014-10-01T06:31:34,2014-10-01T06:38:46,SDO
13,SOL2014-10-01T06:31:36L257C072,,844.8,921.6,230.4,384.0,2014-10-01T06:31:36,2014-10-01T06:36:24,SDO
14,SOL2014-10-01T06:31:37L257C072,,844.8,921.6,230.4,384.0,2014-10-01T06:31:37,2014-10-01T06:37:01,SDO
15,SOL2014-10-01T06:31:43L257C072,,844.8,921.6,230.4,384.0,2014-10-01T06:31:43,2014-10-01T06:36:08,SDO
16,SOL2014-10-01T08:22:24L252C104,,844.8,921.6,-307.2,-230.4,2014-10-01T08:22:24,2014-10-01T08:24:36,SDO
17,SOL2014-10-01T08:22:31L252C104,,844.8,921.6,-307.2,-230.4,2014-10-01T08:22:31,2014-10-01T08:26:07,SDO
18,SOL2014-10-01T08:22:37L252C104,,844.8,921.6,-307.2,-230.4,2014-10-01T08:22:37,2014-10-01T08:25:37,SDO
19,SOL2014-10-01T08:50:22L242C108,,768.0,844.8,-384.0,-307.2,2014-10-01T08:50:22,2014-10-01T08:59:10,SDO
20,SOL2014-10-01T08:59:58L148C091,,-537.6,-460.8,-153.6,-76.8,2014-10-01T08:59:58,2014-10-01T09:11:10,SDO
21,SOL2014-10-01T09:18:34L148C091,,-537.6,-460.8,-153.6,-76.8,2014-10-01T09:18:34,2014-10-01T09:21:10,SDO
22,SOL2014-10-01T09:18:36L148C091,,-537.6,-460.8,-153.6,-76.8,2014-10-01T09:18:36,2014-10-01T09:23:12,SDO
23,SOL2014-10-01T09:29:58L242C108,,768.0,844.8,-384.0,-307.2,2014-10-01T09:29:58,2014-10-01T09:36:22,SDO
24,SOL2014-10-01T10:25:19L251C104,,844.8,921.6,-307.2,-230.4,2014-10-01T10:25:19,2014-10-01T10:29:55,SDO
25,SOL2014-10-01T10:25:24L251C104,,844.8,921.6,-307.2,-230.4,2014-10-01T10:25:24,2014-10-01T10:30:00,SDO
26,SOL2014-10-01T10:25:25L251C104,,844.8,921.6,-307.2,-230.4,2014-10-01T10:25:25,2014-10-01T10:29:49,SDO
27,SOL2014-10-01T11:08:46L251C104,,844.8,921.6,-307.2,-230.4,2014-10-01T11:08:46,2014-10-01T11:16:34,SDO
28,SOL2014-10-01T12:51:10L250C104,,844.8,921.6,-307.2,-153.6,2014-10-01T12:51:10,2014-10-01T13:28:22,SDO
29,SOL2014-10-01T12:51:36L250C104,,844.8,921.6,-307.2,-230.4,2014-10-01T12:51:36,2014-10-01T13:04:48,SDO
30,SOL2014-10-01T13:11:12L250C104,,844.8,921.6,-307.2,-230.4,2014-10-01T13:11:12,2014-10-01T13:13:36,SDO
31,SOL2014-10-01T13:40:58L249C104,,844.8,921.6,-307.2,-230.4,2014-10-01T13:40:58,2014-10-01T13:50:22,SDO
32,SOL2014-10-01T14:39:10L249C104,,844.8,921.6,-307.2,-230.4,2014-10-01T14:39:10,2014-10-01T15:01:22,SDO
33,SOL2014-10-01T15:34:10L248C104,,844.8,921.6,-384.0,-230.4,2014-10-01T15:34:10,2014-10-01T15:49:46,SDO
34,SOL2014-10-01T16:02:46L248C104,,844.8,921.6,-384.0,-230.4,2014-10-01T16:02:46,2014-10-01T16:35:46,SDO
35,SOL2014-10-01T16:41:46L248C104,,844.8,921.6,-307.2,-230.4,2014-10-01T16:41:46,2014-10-01T16:47:22,SDO
