,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2011-09-30T23:52:49L249C081,,-76.8,0.0,0.0,76.8,2011-09-30T23:52:49,2011-10-01T00:02:01,SDO
1,SOL2011-10-01T00:07:59L338C065,,844.8,921.6,384.0,460.8,2011-10-01T00:07:59,2011-10-01T00:09:59,SDO
2,SOL2011-10-01T00:46:23L338C065,,844.8,921.6,384.0,460.8,2011-10-01T00:46:23,2011-10-01T00:48:35,SDO
3,SOL2011-10-01T01:42:23L282C078,,460.8,537.6,76.8,153.6,2011-10-01T01:42:23,2011-10-01T01:47:23,SDO
4,SOL2011-10-01T01:42:25L282C078,,460.8,537.6,76.8,153.6,2011-10-01T01:42:25,2011-10-01T01:44:37,SDO
5,SOL2011-10-01T01:42:26L282C078,,460.8,537.6,76.8,153.6,2011-10-01T01:42:26,2011-10-01T01:45:14,SDO
6,SOL2011-10-01T01:48:59L283C073,,460.8,537.6,153.6,230.4,2011-10-01T01:48:59,2011-10-01T02:00:11,SDO
7,SOL2011-10-01T02:37:47L252C081,,0.0,76.8,0.0,153.6,2011-10-01T02:37:47,2011-10-01T04:09:47,SDO
8,SOL2011-10-01T03:28:47L281C078,,460.8,537.6,76.8,153.6,2011-10-01T03:28:47,2011-10-01T03:39:35,SDO
9,SOL2011-10-01T03:33:59L204C074,,-691.2,-614.4,76.8,230.4,2011-10-01T03:33:59,2011-10-01T03:37:11,SDO
10,SOL2011-10-01T03:34:13L205C079,,-691.2,-614.4,76.8,230.4,2011-10-01T03:34:13,2011-10-01T03:36:13,SDO
11,SOL2011-10-01T03:50:00L252C079,C1.3,2.0,4.0,10.0,12.0,2011-10-01T03:50:00,2011-10-01T04:04:00,SDO
12,SOL2011-10-01T03:50:00L249C090,C1.3,-90.0,90.0,-90.0,90.0,2011-10-01T03:50:00,2011-10-01T04:04:00,GOES
13,SOL2011-10-01T03:52:35L287C078,,537.6,614.4,76.8,153.6,2011-10-01T03:52:35,2011-10-01T03:57:35,SDO
14,SOL2011-10-01T04:44:00L248C090,C4.1,-90.0,90.0,-90.0,90.0,2011-10-01T04:44:00,2011-10-01T04:53:00,GOES
15,SOL2011-10-01T04:44:00L283C079,C4.1,34.0,36.0,10.0,12.0,2011-10-01T04:44:00,2011-10-01T04:53:00,SDO
16,SOL2011-10-01T04:45:35L286C078,,460.8,614.4,76.8,153.6,2011-10-01T04:45:35,2011-10-01T04:54:59,SDO
17,SOL2011-10-01T04:45:49L286C078,,537.6,614.4,76.8,153.6,2011-10-01T04:45:49,2011-10-01T04:53:01,SDO
