,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2015-10-01T00:15:35L109C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T00:15:35,2015-10-01T00:17:35,SDO
1,SOL2015-10-01T01:19:23L108C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T01:19:23,2015-10-01T01:22:23,SDO
2,SOL2015-10-01T01:20:45L108C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T01:20:45,2015-10-01T01:23:45,SDO
3,SOL2015-10-01T01:30:57L098C107,,691.2000122070312,768.0,-384.0,-307.20001220703125,2015-10-01T01:30:57,2015-10-01T01:35:21,SDO
4,SOL2015-10-01T02:03:11L108C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:03:11,2015-10-01T02:10:47,SDO
5,SOL2015-10-01T02:03:12L108C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:03:12,2015-10-01T02:10:36,SDO
6,SOL2015-10-01T02:04:00L102C109,C6.3,55.0,57.0,-20.0,-18.0,2015-10-01T02:04:00,2015-10-01T02:21:00,SDO
7,SOL2015-10-01T02:04:00L105C110,C6.3,58.5,59.5,-20.5,-19.5,2015-10-01T02:04:00,2015-10-01T02:21:00,GOES
8,SOL2015-10-01T02:05:33L098C107,,691.2000122070312,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:05:33,2015-10-01T02:27:45,SDO
9,SOL2015-10-01T02:06:06L108C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:06:06,2015-10-01T02:10:54,SDO
10,SOL2015-10-01T02:12:23L098C107,,691.2000122070312,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:12:23,2015-10-01T02:15:11,SDO
11,SOL2015-10-01T02:12:24L098C107,,691.2000122070312,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T02:12:24,2015-10-01T02:23:12,SDO
12,SOL2015-10-01T02:12:30L098C107,,691.2000122070312,768.0,-460.79998779296875,-307.20001220703125,2015-10-01T02:12:30,2015-10-01T02:38:54,SDO
13,SOL2015-10-01T02:19:47L098C107,,691.2000122070312,768.0,-460.79998779296875,-307.20001220703125,2015-10-01T02:19:47,2015-10-01T02:23:59,SDO
14,SOL2015-10-01T03:10:09L107C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T03:10:09,2015-10-01T03:15:21,SDO
15,SOL2015-10-01T03:12:47L107C108,,768.0,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T03:12:47,2015-10-01T03:15:11,SDO
16,SOL2015-10-01T03:40:09L107C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T03:40:09,2015-10-01T03:43:45,SDO
17,SOL2015-10-01T03:59:42L097C107,,691.2000122070312,768.0,-460.79998779296875,-307.20001220703125,2015-10-01T03:59:42,2015-10-01T04:03:42,SDO
18,SOL2015-10-01T03:59:45L097C107,,691.2000122070312,768.0,-384.0,-307.20001220703125,2015-10-01T03:59:45,2015-10-01T04:04:33,SDO
19,SOL2015-10-01T03:59:47L097C107,,691.2000122070312,768.0,-460.79998779296875,-307.20001220703125,2015-10-01T03:59:47,2015-10-01T04:03:47,SDO
20,SOL2015-10-01T04:47:21L037C072,,-153.60000610351562,-76.80000305175781,153.60000610351562,230.39999389648438,2015-10-01T04:47:21,2015-10-01T04:49:45,SDO
21,SOL2015-10-01T05:16:21L106C108,,691.2000122070312,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T05:16:21,2015-10-01T05:34:09,SDO
22,SOL2015-10-01T05:16:35L106C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T05:16:35,2015-10-01T05:20:59,SDO
23,SOL2015-10-01T05:16:42L106C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T05:16:42,2015-10-01T05:19:06,SDO
24,SOL2015-10-01T05:39:00L119C110,C1.6,74.0,76.0,-21.0,-19.0,2015-10-01T05:39:00,2015-10-01T05:53:00,SDO
25,SOL2015-10-01T05:39:00L044C090,C1.6,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2015-10-01T05:39:00,2015-10-01T06:16:00,GOES
26,SOL2015-10-01T05:41:33L106C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T05:41:33,2015-10-01T05:44:09,SDO
27,SOL2015-10-01T05:41:35L106C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T05:41:35,2015-10-01T05:43:47,SDO
28,SOL2015-10-01T05:41:36L106C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T05:41:36,2015-10-01T05:43:48,SDO
29,SOL2015-10-01T06:01:21L105C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T06:01:21,2015-10-01T06:04:09,SDO
30,SOL2015-10-01T06:04:45L105C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T06:04:45,2015-10-01T06:07:21,SDO
31,SOL2015-10-01T06:17:06L098C112,,691.2000122070312,768.0,-460.79998779296875,-384.0,2015-10-01T06:17:06,2015-10-01T06:32:54,SDO
32,SOL2015-10-01T06:17:11L098C112,,691.2000122070312,844.7999877929688,-460.79998779296875,-307.20001220703125,2015-10-01T06:17:11,2015-10-01T06:20:11,SDO
33,SOL2015-10-01T07:28:21L095C107,,691.2000122070312,768.0,-384.0,-307.20001220703125,2015-10-01T07:28:21,2015-10-01T07:42:45,SDO
34,SOL2015-10-01T07:56:33L104C108,,768.0,844.7999877929688,-384.0,-307.20001220703125,2015-10-01T07:56:33,2015-10-01T08:20:21,SDO
35,SOL2015-10-01T08:15:00L098C109,C7.6,55.0,57.0,-20.0,-18.0,2015-10-01T08:15:00,2015-10-01T09:34:00,SDO
