,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2016-04-01T02:50:00L176C097,B1.1,21.0,23.0,-8.0,-6.0,2016-04-01T02:50:00,2016-04-01T02:56:00,SDO
1,SOL2016-04-01T02:50:00L154C090,B1.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-01T02:50:00,2016-04-01T02:56:00,GOES
2,SOL2016-04-01T03:00:00L153C090,B1.3,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-01T03:00:00,2016-04-01T03:07:00,GOES
3,SOL2016-04-01T03:00:00L176C097,B1.3,22.0,24.0,-8.0,-6.0,2016-04-01T03:00:00,2016-04-01T03:07:00,SDO
4,SOL2016-04-01T03:38:00L153C090,B1.0,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-01T03:38:00,2016-04-01T03:44:00,GOES
5,SOL2016-04-01T03:38:00L176C097,B1.0,22.0,24.0,-8.0,-6.0,2016-04-01T03:38:00,2016-04-01T03:44:00,SDO
6,SOL2016-04-02T12:11:00L196C084,B2.1,59.0,61.0,5.0,7.0,2016-04-02T12:11:00,2016-04-02T12:22:00,SDO
7,SOL2016-04-02T12:11:00L135C090,B2.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-02T12:11:00,2016-04-02T12:22:00,GOES
8,SOL2016-04-02T12:15:09L194C082,,768.0,844.7999877929688,153.60000610351562,230.39999389648438,2016-04-02T12:15:09,2016-04-02T12:21:09,SDO
9,SOL2016-04-03T13:35:00L203C082,B2.2,80.0,82.0,7.0,9.0,2016-04-03T13:35:00,2016-04-03T13:41:00,SDO
10,SOL2016-04-03T13:35:00L121C090,B2.2,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-03T13:35:00,2016-04-03T13:41:00,GOES
11,SOL2016-04-03T13:37:21L211C084,,921.5999755859375,998.4000244140625,76.80000305175781,153.60000610351562,2016-04-03T13:37:21,2016-04-03T13:40:33,SDO
12,SOL2016-04-03T16:17:33L108C085,,-230.39999389648438,-153.60000610351562,153.60000610351562,230.39999389648438,2016-04-03T16:17:33,2016-04-03T16:21:57,SDO
13,SOL2016-04-03T23:52:00L110C085,B3.1,-7.0,-5.0,4.0,6.0,2016-04-03T23:52:00,2016-04-04T00:17:00,SDO
14,SOL2016-04-03T23:52:00L116C090,B3.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-03T23:52:00,2016-04-04T00:17:00,GOES
15,SOL2016-04-04T09:40:00L112C084,B1.3,1.0,3.0,5.0,7.0,2016-04-04T09:40:00,2016-04-04T09:48:00,SDO
16,SOL2016-04-04T09:40:00L110C090,B1.3,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-04T09:40:00,2016-04-04T09:48:00,GOES
17,SOL2016-04-04T12:43:00L020C086,B2.0,-90.0,-88.0,3.0,5.0,2016-04-04T12:43:00,2016-04-04T12:56:00,SDO
18,SOL2016-04-04T12:43:00L109C090,B2.0,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-04T12:43:00,2016-04-04T12:56:00,GOES
19,SOL2016-04-04T18:05:09L112C085,,76.80000305175781,153.60000610351562,153.60000610351562,230.39999389648438,2016-04-04T18:05:09,2016-04-04T18:09:09,SDO
20,SOL2016-04-04T19:25:00L105C090,B4.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-04T19:25:00,2016-04-04T19:49:00,GOES
21,SOL2016-04-04T19:25:00L108C084,B4.1,2.0,4.0,5.0,7.0,2016-04-04T19:25:00,2016-04-04T19:49:00,SDO
22,SOL2016-04-04T19:27:57L107C085,,0.0,76.80000305175781,153.60000610351562,230.39999389648438,2016-04-04T19:27:57,2016-04-04T19:50:09,SDO
23,SOL2016-04-05T04:27:00L100C090,B1.5,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-05T04:27:00,2016-04-05T04:33:00,GOES
24,SOL2016-04-05T04:27:00L011C086,B1.5,-90.0,-88.0,3.0,5.0,2016-04-05T04:27:00,2016-04-05T04:33:00,SDO
25,SOL2016-04-05T04:29:33L010C088,,-998.4000244140625,-921.5999755859375,0.0,76.80000305175781,2016-04-05T04:29:33,2016-04-05T04:32:21,SDO
26,SOL2016-04-05T07:31:00L109C084,B4.6,10.0,12.0,5.0,7.0,2016-04-05T07:31:00,2016-04-05T07:42:00,SDO
27,SOL2016-04-05T07:31:00L098C090,B4.6,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-05T07:31:00,2016-04-05T07:42:00,GOES
28,SOL2016-04-05T07:34:09L110C085,,153.60000610351562,230.39999389648438,153.60000610351562,230.39999389648438,2016-04-05T07:34:09,2016-04-05T07:43:21,SDO
29,SOL2016-04-05T07:41:00L110C085,,153.60000610351562,230.39999389648438,153.60000610351562,230.39999389648438,2016-04-05T07:41:00,2016-04-05T07:43:48,SDO
30,SOL2016-04-05T15:46:00L110C084,B2.5,15.0,17.0,5.0,7.0,2016-04-05T15:46:00,2016-04-05T15:54:00,SDO
31,SOL2016-04-05T15:46:00L094C090,B2.5,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2016-04-05T15:46:00,2016-04-05T15:54:00,GOES
