,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2017-01-04T02:34:00L082C090,B1.8,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2017-01-04T02:34:00,2017-01-04T02:50:00,GOES
1,SOL2017-01-04T02:34:00L140C098,B1.8,57.0,59.0,-9.0,-7.0,2017-01-04T02:34:00,2017-01-04T02:50:00,SDO
2,SOL2017-01-04T02:36:56L139C098,,768.0,844.7999877929688,-153.60000610351562,-76.80000305175781,2017-01-04T02:36:56,2017-01-04T02:40:20,SDO
3,SOL2017-01-04T14:02:44L142C098,,844.7999877929688,921.5999755859375,-153.60000610351562,-76.80000305175781,2017-01-04T14:02:44,2017-01-04T14:05:20,SDO
4,SOL2017-01-05T02:38:00L141C098,B1.2,71.0,73.0,-9.0,-7.0,2017-01-05T02:38:00,2017-01-05T03:08:00,SDO
5,SOL2017-01-05T18:20:00L060C090,B1.4,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2017-01-05T18:20:00,2017-01-05T18:39:00,GOES
6,SOL2017-01-05T18:20:00L144C098,B1.4,83.0,85.0,-9.0,-7.0,2017-01-05T18:20:00,2017-01-05T18:39:00,SDO
7,SOL2017-01-06T07:51:00L142C098,A7.1,88.0,90.0,-9.0,-7.0,2017-01-06T07:51:00,2017-01-06T09:30:00,SDO
8,SOL2017-01-10T10:25:00L000C090,B7.3,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2017-01-10T10:25:00,2017-01-10T10:33:00,GOES
9,SOL2017-01-10T10:25:00L074C076,B7.3,74.0,76.0,13.0,15.0,2017-01-10T10:25:00,2017-01-10T10:33:00,SDO
10,SOL2017-01-10T10:27:44L068C076,,844.7999877929688,921.5999755859375,230.39999389648438,307.20001220703125,2017-01-10T10:27:44,2017-01-10T10:35:20,SDO
11,SOL2017-01-10T12:56:00L358C090,B8.8,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2017-01-10T12:56:00,2017-01-10T13:04:00,GOES
12,SOL2017-01-10T12:56:00L074C077,B8.8,76.0,78.0,12.0,14.0,2017-01-10T12:56:00,2017-01-10T13:04:00,SDO
13,SOL2017-01-10T12:58:32L066C076,,844.7999877929688,998.4000244140625,230.39999389648438,307.20001220703125,2017-01-10T12:58:32,2017-01-10T13:53:20,SDO
14,SOL2017-01-10T12:58:46L086C075,,921.5999755859375,998.4000244140625,230.39999389648438,307.20001220703125,2017-01-10T12:58:46,2017-01-10T13:01:46,SDO
15,SOL2017-01-10T15:10:00L077C074,B3.9,80.5,81.5,15.5,16.5,2017-01-10T15:10:00,2017-01-10T15:17:00,GOES
16,SOL2017-01-10T15:10:00L074C076,B3.9,77.0,79.0,13.0,15.0,2017-01-10T15:10:00,2017-01-10T15:21:00,SDO
17,SOL2017-01-10T15:11:32L085C075,,921.5999755859375,998.4000244140625,230.39999389648438,307.20001220703125,2017-01-10T15:11:32,2017-01-10T15:18:20,SDO
18,SOL2017-01-10T15:21:00L074C075,B4.1,77.0,79.0,14.0,16.0,2017-01-10T15:21:00,2017-01-10T15:31:00,SDO
19,SOL2017-01-10T15:21:00L357C090,B4.1,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2017-01-10T15:21:00,2017-01-10T15:31:00,GOES
20,SOL2017-01-10T15:21:20L057C079,,834.2999877929688,834.2999877929688,234.1999969482422,234.1999969482422,2017-01-10T15:21:20,2017-01-10T15:30:58,IRIS
21,SOL2017-01-10T15:59:00L072C076,B2.4,75.0,77.0,13.0,15.0,2017-01-10T15:59:00,2017-01-10T16:10:00,SDO
22,SOL2017-01-10T16:36:00L076C073,B6.6,80.5,81.5,16.5,17.5,2017-01-10T16:36:00,2017-01-10T16:49:00,GOES
23,SOL2017-01-10T16:36:00L074C075,B6.6,78.0,80.0,14.0,16.0,2017-01-10T16:36:00,2017-01-10T16:49:00,SDO
24,SOL2017-01-10T16:43:20L084C075,,921.5999755859375,998.4000244140625,230.39999389648438,307.20001220703125,2017-01-10T16:43:20,2017-01-10T16:50:08,SDO
25,SOL2017-01-10T17:09:44L084C075,,921.5999755859375,998.4000244140625,230.39999389648438,307.20001220703125,2017-01-10T17:09:44,2017-01-10T17:12:56,SDO
26,SOL2017-01-10T18:03:00L075C073,B5.4,79.5,80.5,16.5,17.5,2017-01-10T18:03:00,2017-01-10T18:13:00,GOES
27,SOL2017-01-10T18:03:00L074C075,B5.4,78.0,80.0,14.0,16.0,2017-01-10T18:03:00,2017-01-10T18:13:00,SDO
