,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2013-01-01T00:58:00L327C090,B7.8,-90.0,90.0,-90.0,90.0,2013-01-01T00:58:00,2013-01-01T01:11:00,GOES
1,SOL2013-01-01T00:58:00L249C115,B7.8,-79.0,-77.0,-26.0,-24.0,2013-01-01T00:58:00,2013-01-01T01:11:00,SDO
2,SOL2013-01-01T00:59:46L238C115,,-921.6,-844.8,-460.8,-384.0,2013-01-01T00:59:46,2013-01-01T01:05:46,SDO
3,SOL2013-01-01T01:01:24L238C115,,-921.6,-844.8,-460.8,-384.0,2013-01-01T01:01:24,2013-01-01T01:03:48,SDO
4,SOL2013-01-01T01:01:25L238C115,,-921.6,-844.8,-460.8,-384.0,2013-01-01T01:01:25,2013-01-01T01:03:49,SDO
5,SOL2013-01-01T01:05:22L319C063,,-153.6,0.0,460.8,537.6,2013-01-01T01:05:22,2013-01-01T05:43:22,SDO
6,SOL2013-01-01T01:05:48L324C063,,-76.8,0.0,460.8,537.6,2013-01-01T01:05:48,2013-01-01T01:08:00,SDO
7,SOL2013-01-01T04:21:00L323C063,,-76.8,0.0,460.8,537.6,2013-01-01T04:21:00,2013-01-01T04:23:00,SDO
8,SOL2013-01-01T04:21:01L323C063,,-76.8,0.0,460.8,537.6,2013-01-01T04:21:01,2013-01-01T05:27:25,SDO
9,SOL2013-01-01T04:42:10L254C106,,-921.6,-844.8,-307.2,-230.4,2013-01-01T04:42:10,2013-01-01T04:53:22,SDO
10,SOL2013-01-01T06:54:22L275C086,,-768.0,-691.2,76.8,153.6,2013-01-01T06:54:22,2013-01-01T07:01:10,SDO
11,SOL2013-01-01T08:47:00L235C076,B5.5,-89.0,-87.0,13.0,15.0,2013-01-01T08:47:00,2013-01-01T08:51:00,SDO
12,SOL2013-01-01T08:47:00L324C065,C1.2,0.5,1.5,24.5,25.5,2013-01-01T08:47:00,2013-01-01T09:13:00,GOES
13,SOL2013-01-01T08:47:46L274C086,,-768.0,-691.2,76.8,153.6,2013-01-01T08:47:46,2013-01-01T08:55:46,SDO
