,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2012-01-01T01:14:47L207C079,,921.6,998.4,153.6,230.4,2012-01-01T01:14:47,2012-01-01T01:18:47,SDO
1,SOL2012-01-01T01:57:11L081C117,,-537.6,-460.8,-460.8,-307.2,2012-01-01T01:57:11,2012-01-01T02:02:11,SDO
2,SOL2012-01-01T02:23:11L198C084,,921.6,998.4,76.8,230.4,2012-01-01T02:23:11,2012-01-01T02:26:23,SDO
3,SOL2012-01-01T02:23:26L198C084,,921.6,998.4,76.8,153.6,2012-01-01T02:23:26,2012-01-01T02:25:26,SDO
4,SOL2012-01-01T02:46:23L080C117,,-614.4,-460.8,-460.8,-307.2,2012-01-01T02:46:23,2012-01-01T04:18:23,SDO
5,SOL2012-01-01T04:26:23L075C112,,-614.4,-460.8,-384.0,-307.2,2012-01-01T04:26:23,2012-01-01T04:28:35,SDO
6,SOL2012-01-01T04:45:00L115C090,B8.1,-90.0,90.0,-90.0,90.0,2012-01-01T04:45:00,2012-01-01T04:57:00,GOES
7,SOL2012-01-01T04:45:00L080C115,B8.1,-36.0,-34.0,-26.0,-24.0,2012-01-01T04:45:00,2012-01-01T04:57:00,SDO
8,SOL2012-01-01T04:46:35L079C117,,-537.6,-460.8,-460.8,-307.2,2012-01-01T04:46:35,2012-01-01T04:57:47,SDO
9,SOL2012-01-01T07:00:35L078C117,,-537.6,-460.8,-460.8,-384.0,2012-01-01T07:00:35,2012-01-01T07:08:35,SDO
10,SOL2012-01-01T07:19:47L078C117,,-537.6,-460.8,-460.8,-307.2,2012-01-01T07:19:47,2012-01-01T07:45:11,SDO
11,SOL2012-01-01T07:24:00L079C116,C3.2,-34.5,-33.5,-26.5,-25.5,2012-01-01T07:24:00,2012-01-01T07:44:00,GOES
12,SOL2012-01-01T07:24:00L079C115,C3.2,-35.0,-33.0,-26.0,-24.0,2012-01-01T07:24:00,2012-01-01T07:44:00,SDO
