,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2014-12-31T11:12:13L002C098,,-844.7999877929688,-691.2000122070312,-153.60000610351562,0.0,2014-12-31T11:12:13,2015-01-01T03:02:01,SDO
1,SOL2014-12-31T23:02:00L359C095,C1.2,-55.0,-53.0,-6.0,-4.0,2014-12-31T23:02:00,2015-01-01T00:17:00,SDO
2,SOL2014-12-31T23:02:00L052C090,C1.2,-89.9000015258789,89.9000015258789,-89.9000015258789,89.9000015258789,2014-12-31T23:02:00,2015-01-01T00:17:00,GOES
3,SOL2015-01-01T00:56:58L003C094,,-768.0,-691.2000122070312,-76.80000305175781,0.0,2015-01-01T00:56:58,2015-01-01T00:59:46,SDO
4,SOL2015-01-01T01:05:46L355C098,,-844.7999877929688,-768.0,-153.60000610351562,-76.80000305175781,2015-01-01T01:05:46,2015-01-01T01:09:34,SDO
5,SOL2015-01-01T01:53:22L002C094,,-768.0,-691.2000122070312,-76.80000305175781,0.0,2015-01-01T01:53:22,2015-01-01T01:55:34,SDO
6,SOL2015-01-01T01:58:34L001C098,,-844.7999877929688,-614.4000244140625,-153.60000610351562,0.0,2015-01-01T01:58:34,2015-01-01T14:26:34,SDO
7,SOL2015-01-01T04:57:00L000C097,C2.1,-50.5,-49.5,-7.5,-6.5,2015-01-01T04:57:00,2015-01-01T05:17:00,GOES
8,SOL2015-01-01T04:57:00L000C096,C2.1,-51.0,-49.0,-7.0,-5.0,2015-01-01T04:57:00,2015-01-01T05:17:00,SDO
9,SOL2015-01-01T05:51:37L000C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T05:51:37,2015-01-01T06:11:37,SDO
10,SOL2015-01-01T05:51:48L000C098,,-768.0,-691.2000122070312,-153.60000610351562,0.0,2015-01-01T05:51:48,2015-01-01T08:46:12,SDO
11,SOL2015-01-01T05:51:55L000C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T05:51:55,2015-01-01T06:09:55,SDO
12,SOL2015-01-01T07:22:00L359C095,C2.1,-50.0,-48.0,-6.0,-4.0,2015-01-01T07:22:00,2015-01-01T07:38:00,SDO
13,SOL2015-01-01T07:22:00L359C096,C2.1,-49.5,-48.5,-6.5,-5.5,2015-01-01T07:22:00,2015-01-01T07:38:00,GOES
14,SOL2015-01-01T07:32:01L359C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T07:32:01,2015-01-01T07:35:13,SDO
15,SOL2015-01-01T08:06:07L359C098,,-768.0,-691.2000122070312,-153.60000610351562,0.0,2015-01-01T08:06:07,2015-01-01T08:13:07,SDO
16,SOL2015-01-01T08:14:10L075C113,,384.0,460.79998779296875,-384.0,-307.20001220703125,2015-01-01T08:14:10,2015-01-01T08:21:34,SDO
17,SOL2015-01-01T08:14:12L075C113,,384.0,460.79998779296875,-384.0,-307.20001220703125,2015-01-01T08:14:12,2015-01-01T08:18:48,SDO
18,SOL2015-01-01T09:14:37L358C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T09:14:37,2015-01-01T09:17:13,SDO
19,SOL2015-01-01T09:14:43L358C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T09:14:43,2015-01-01T09:17:31,SDO
20,SOL2015-01-01T09:14:48L358C098,,-768.0,-691.2000122070312,-153.60000610351562,0.0,2015-01-01T09:14:48,2015-01-01T09:17:12,SDO
21,SOL2015-01-01T10:06:36L358C098,,-768.0,-691.2000122070312,-153.60000610351562,-76.80000305175781,2015-01-01T10:06:36,2015-01-01T10:08:48,SDO
22,SOL2015-01-01T11:32:07L003C098,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T11:32:07,2015-01-01T11:34:43,SDO
23,SOL2015-01-01T11:32:13L003C098,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T11:32:13,2015-01-01T11:34:25,SDO
24,SOL2015-01-01T11:32:24L003C098,,-691.2000122070312,-614.4000244140625,-153.60000610351562,0.0,2015-01-01T11:32:24,2015-01-01T11:34:24,SDO
25,SOL2015-01-01T13:20:24L002C099,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T13:20:24,2015-01-01T13:23:00,SDO
26,SOL2015-01-01T13:20:25L002C099,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T13:20:25,2015-01-01T13:24:13,SDO
27,SOL2015-01-01T14:55:22L001C094,,-691.2000122070312,-614.4000244140625,-153.60000610351562,0.0,2015-01-01T14:55:22,2015-01-01T15:13:10,SDO
28,SOL2015-01-01T15:24:34L001C094,,-691.2000122070312,-614.4000244140625,-153.60000610351562,0.0,2015-01-01T15:24:34,2015-01-01T15:46:34,SDO
29,SOL2015-01-01T15:33:12L000C099,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T15:33:12,2015-01-01T15:36:48,SDO
30,SOL2015-01-01T16:20:22L000C099,,-691.2000122070312,-614.4000244140625,-153.60000610351562,-76.80000305175781,2015-01-01T16:20:22,2015-01-01T16:22:34,SDO
31,SOL2015-01-01T16:36:34L000C099,,-691.2000122070312,-614.4000244140625,-153.60000610351562,0.0,2015-01-01T16:36:34,2015-01-01T16:45:34,SDO
32,SOL2015-01-01T16:41:00L000C094,,-691.2000122070312,-614.4000244140625,-76.80000305175781,0.0,2015-01-01T16:41:00,2015-01-01T16:43:24,SDO
33,SOL2015-01-01T17:32:10L000C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T17:32:10,2015-01-01T17:38:46,SDO
34,SOL2015-01-01T18:11:46L005C094,,-614.4000244140625,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T18:11:46,2015-01-01T18:17:46,SDO
35,SOL2015-01-01T18:24:10L005C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T18:24:10,2015-01-01T18:29:34,SDO
36,SOL2015-01-01T18:46:34L005C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T18:46:34,2015-01-01T18:56:34,SDO
37,SOL2015-01-01T19:02:55L005C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T19:02:55,2015-01-01T19:08:43,SDO
38,SOL2015-01-01T19:02:58L000C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T19:02:58,2015-01-01T19:13:10,SDO
39,SOL2015-01-01T19:03:00L003C095,C1.8,-39.0,-37.0,-6.0,-4.0,2015-01-01T19:03:00,2015-01-01T19:07:00,SDO
40,SOL2015-01-01T19:03:00L003C095,C1.8,-38.5,-37.5,-5.5,-4.5,2015-01-01T19:03:00,2015-01-01T19:07:00,GOES
41,SOL2015-01-01T19:03:00L005C094,,-691.2000122070312,-537.5999755859375,-76.80000305175781,0.0,2015-01-01T19:03:00,2015-01-01T19:09:36,SDO
